,Teamname,Tournament,Username
176,Austin Sol,AUDL 2018,E Moore
177,Austin Sol,AUDL 2018,EPollack
178,Austin Sol,AUDL 2017,Frohli J
179,Austin Sol,AUDL 2016,Graman B
180,Austin Sol,AUDL 2017,Graman B
181,Austin Sol,AUDL 2016,Halpri K
182,Austin Sol,AUDL 2016,Hays M
183,Austin Sol,AUDL 2017,Hays M
184,Austin Sol,AUDL 2017,Henke K
185,Austin Sol,AUDL 2016,Hillis E
186,Austin Sol,AUDL 2016,Holler J
187,Austin Sol,AUDL 2018,J Cecil
188,Austin Sol,AUDL 2018,J Wolfe
189,Austin Sol,AUDL 2018,J Zdrodo
190,Austin Sol,AUDL 2018,JCecil
191,Austin Sol,AUDL 2018,JHollera
192,Austin Sol,AUDL 2018,JLoskorn
193,Austin Sol,AUDL 2018,K Daftar
194,Austin Sol,AUDL 2018,K Henke
195,Austin Sol,AUDL 2018,K Thomas
196,Austin Sol,AUDL 2018,Kamron D
197,Austin Sol,AUDL 2018,Kevin Ha
198,Austin Sol,AUDL 2016,Kinney L
199,Austin Sol,AUDL 2017,Kinney L
200,Austin Sol,AUDL 2016,Lewis B
201,Austin Sol,AUDL 2016,Loskor J
202,Austin Sol,AUDL 2017,Loskor J
203,Austin Sol,AUDL 2018,M Biersc
204,Austin Sol,AUDL 2018,M Cook
205,Austin Sol,AUDL 2018,M Natenb
206,Austin Sol,AUDL 2018,M Walter
207,Austin Sol,AUDL 2018,MMatthis
208,Austin Sol,AUDL 2018,MaBennet
209,Austin Sol,AUDL 2016,Matthi M
210,Austin Sol,AUDL 2017,Matthi M
211,Austin Sol,AUDL 2018,MiBennet
212,Austin Sol,AUDL 2016,Mock N
213,Austin Sol,AUDL 2017,Mock N
214,Austin Sol,AUDL 2017,Moore E
215,Austin Sol,AUDL 2016,Mosola L
216,Austin Sol,AUDL 2017,Mosola L
217,Austin Sol,AUDL 2018,Murphy
218,Austin Sol,AUDL 2018,N Whale
219,Austin Sol,AUDL 2018,Naji
220,Austin Sol,AUDL 2017,Naji S
221,Austin Sol,AUDL 2018,Nash Moc
222,Austin Sol,AUDL 2016,Orloff R
223,Austin Sol,AUDL 2017,Orloff R
224,Austin Sol,AUDL 2018,P Starke
225,Austin Sol,AUDL 2016,Poinde D
226,Austin Sol,AUDL 2016,Pollac E
227,Austin Sol,AUDL 2017,Pollac E
228,Austin Sol,AUDL 2016,Purcel R
229,Austin Sol,AUDL 2017,Purcel R
230,Austin Sol,AUDL 2018,R Lewis
231,Austin Sol,AUDL 2018,R Orloff
232,Austin Sol,AUDL 2018,RPurcell
233,Austin Sol,AUDL 2017,Reinha J
234,Austin Sol,AUDL 2016,Richar D
235,Austin Sol,AUDL 2017,Richar D
236,Austin Sol,AUDL 2018,Rogers
237,Austin Sol,AUDL 2016,Sackma C
238,Austin Sol,AUDL 2017,Sany N
239,Austin Sol,AUDL 2017,Schafe J
240,Austin Sol,AUDL 2016,Starke P
241,Austin Sol,AUDL 2017,Starke P
242,Austin Sol,AUDL 2018,T Chiu
243,Austin Sol,AUDL 2018,Unknown
244,Austin Sol,AUDL 2018,VRenshaw
245,Austin Sol,AUDL 2017,Vargas C
246,Austin Sol,AUDL 2016,Walch A
247,Austin Sol,AUDL 2017,Walch A
248,Austin Sol,AUDL 2017,Walter M
