Unnamed: 0,Teamname,Tournament,Username,PlayerName,Suggestion1,Suggestion2,Suggestion3,MatchScore
118,Atlanta Hustle,AUDL 2016,Staber,Karl Staber,Karl Staber,Sam Gainer,Stan Birdsong,0.705882353
119,Atlanta Hustle,AUDL 2017,Staber,Karl Staber,Karl Staber,Sam Gainer,Stan Birdsong,0.705882353
120,Atlanta Hustle,AUDL 2016,Sun,Sun Choi,Sun Choi,JP Burns,Sean Sears,0.545454545
121,Atlanta Hustle,AUDL 2017,Sun,Sun Choi,Sun Choi,JP Burns,Sean Sears,0.545454545
122,Atlanta Hustle,AUDL 2018,Sun,Sun Choi,Sun Choi,JP Burns,Sam Gainer,0.545454545
123,Atlanta Hustle,AUDL 2015,Sun Choi,Sun Choi,Sun Choi,Devin Cox,Steven Hicks,1
124,Atlanta Hustle,AUDL 2015,T Spinks,Trenton Spinks,Trenton Spinks,Ryans Simmons,Steven Hicks,0.727272727
125,Atlanta Hustle,AUDL 2015,TGoforth,Taylor Goforth,Taylor Goforth,Robert Bradham,Brian Moore,0.727272727
126,Atlanta Hustle,AUDL 2016,The Law,,Max Leonard,Ben Breault,,0
127,Atlanta Hustle,AUDL 2017,Thor,Josh Turner,Austin Taylor,Taylor Goforth,Sun Choi,0.266666667
128,Atlanta Hustle,AUDL 2018,Thor,Josh Turner,Taylor Minch,Austin Taylor,Sun Choi,0.266666667
129,Atlanta Hustle,AUDL 2016,Tree,Taylor Goforth,Trenton Spinks,David Berendes,,0.222222222
130,Atlanta Hustle,AUDL 2017,Tree,Taylor Goforth,Josh Turner,Trenton Spinks,,0.222222222
131,Atlanta Hustle,AUDL 2016,Trenton,Trenton Spinks,Trenton Spinks,Kyle Stapleton,Max Leonard,0.666666667
132,Atlanta Hustle,AUDL 2017,Trenton,Trenton Spinks,Trenton Spinks,Kyle Stapleton,Max Leonard,0.666666667
133,Atlanta Hustle,AUDL 2018,Trenton,Trenton Spinks,Trenton Spinks,Tyler French,Mike Tillotson,0.666666667
134,Atlanta Hustle,AUDL 2016,Vickroy,Nathan Vickroy,Nathan Vickroy,Elliott Erickson,Steven Hicks,0.666666667
135,Atlanta Hustle,AUDL 2017,Vickroy,Nathan Vickroy,Nathan Vickroy,Micah Jo,Stan Birdsong,0.666666667
136,Atlanta Hustle,AUDL 2016,Walsh,,Taylor Goforth,Will Carmichael,Christian Olsen,0
137,Atlanta Hustle,AUDL 2016,Will,Will Carmichael,Will Carmichael,Kelvin Williams,Daniel Sperling,0.421052632
138,Atlanta Hustle,AUDL 2018,Will L,Will Lindquist,Will Lindquist,Kelvin Williams,Allan Laviolette,0.6
139,Atlanta Hustle,AUDL 2016,Wooten,Frank Wooten,Frank Wooten,Mark Poole,Steven Hicks,0.666666667
140,Atlanta Hustle,AUDL 2016,Yusuf,Yusuf Abdullah,Yusuf Abdullah,JP Burns,,0.526315789
141,Atlanta Hustle,AUDL 2017,Yusuf,Yusuf Abdullah,Yusuf Abdullah,JP Burns,,0.526315789
142,Atlanta Hustle,AUDL 2018,Yusuf,Yusuf Abdullah,Yusuf Abdullah,JP Burns,,0.526315789
143,Austin Sol,AUDL 2018,A Davis,Aubrey Davis,Aubrey Davis,Kamron Daftari,Robert Lewis,0.736842105
144,Austin Sol,AUDL 2018,A Walch,Andrew Walch,Andrew Walch,Mick Walter,Jerrod Wolfe,0.736842105
145,Austin Sol,AUDL 2018,ABrouwer,Alex Brouwer,Alex Brouwer,Brian Gfroerer,Brett Gramann,0.8
146,Austin Sol,AUDL 2018,B Adams,Brendan Adams,Brendan Adams,Brett Gramann,Kiran Thomas,0.7
147,Austin Sol,AUDL 2018,B Gfroer,Brian Gfroerer,Brian Gfroerer,Alex Brouwer,Brett Gramann,0.727272727
148,Austin Sol,AUDL 2018,B Gramma,Brett Gramann,Brett Gramann,Kiran Thomas,Christopher Grimm,0.666666667
149,Austin Sol,AUDL 2016,Bautis V,Victor Bautista,Victor Bautista,Nash Mock,Ben Lewis,0.52173913
150,Austin Sol,AUDL 2017,Bautis V,Victor Bautista,Victor Bautista,Carlos Vargas,Nash Mock,0.52173913
151,Austin Sol,AUDL 2016,Bennet M,Mitchell Bennett,Mitchell Bennett,Ben Lewis,Brett Gramann,0.5
152,Austin Sol,AUDL 2017,Bennet M,Mitchell Bennett,Mitchell Bennett,Brandon Dial,Brett Gramann,0.5
153,Austin Sol,AUDL 2017,Best J,Jason Best,Jason Best,Brett Gramann,,0.5
154,Austin Sol,AUDL 2017,Biersc M,Matthew Bierschenk,Matthew Bierschenk,Nash Mock,Michael Matthis,0.461538462
155,Austin Sol,AUDL 2018,Bigley,Ryan Bigley,Ryan Bigley,Mick Walter,Valley Renshaw,0.705882353
156,Austin Sol,AUDL 2016,Bigley R,Ryan Bigley,Ryan Bigley,Ben Lewis,Michael Hays,0.631578947
157,Austin Sol,AUDL 2017,Bigley R,Ryan Bigley,Ryan Bigley,Kyle Henke,Michael Hays,0.631578947
158,Austin Sol,AUDL 2016,Boyea D,David Boyea,David Boyea,Ben Lewis,Ryan Bigley,0.555555556
159,Austin Sol,AUDL 2016,Brooks C,Chris Brooks,Chris Brooks,Joel Clutton,Jerrod Wolfe,0.6
160,Austin Sol,AUDL 2017,Brooks C,Chris Brooks,Chris Brooks,Brandon Dial,Carlos Vargas,0.6
161,Austin Sol,AUDL 2018,C Brooks,Chris Brooks,Chris Brooks,Max Cook,Joshua Zdrodowski,0.8
162,Austin Sol,AUDL 2018,C Cunnin,Chase Cunningham,Chase Cunningham,Tyler Chiu,John Cecil,0.666666667
163,Austin Sol,AUDL 2018,C Grimm,Christopher Grimm,Christopher Grimm,Brett Gramann,Corey Mika,0.583333333
164,Austin Sol,AUDL 2018,C Mika,Corey Mika,Corey Mika,Mick Walter,Nash Mock,0.75
165,Austin Sol,AUDL 2018,C Vargas,Carlos Vargas,Carlos Vargas,Doug Richardson,Corey Mika,0.761904762
166,Austin Sol,AUDL 2017,Cecil J,John Cecil,John Cecil,Michael Hays,Chris Brooks,0.588235294
167,Austin Sol,AUDL 2016,Clutto J,Joel Clutton,Joel Clutton,,,0.6
168,Austin Sol,AUDL 2016,Cunnin C,Chase Cunningham,Chase Cunningham,Chris Brooks,,0.5
169,Austin Sol,AUDL 2017,Cunnin C,Chase Cunningham,Chase Cunningham,John Cecil,Chris Brooks,0.5
170,Austin Sol,AUDL 2018,D Richar,Doug Richardson,Doug Richardson,Mick Walter,Michael Natenberg,0.695652174
171,Austin Sol,AUDL 2017,Daftar K,Kamron Daftari,Kamron Daftari,Nathan Sany,Paul Starkel,0.545454545
172,Austin Sol,AUDL 2017,Davis A,Aubrey Davis,Aubrey Davis,Nash Mock,Jason Best,0.526315789
173,Austin Sol,AUDL 2017,Deneco C,Caleb Denecour,Caleb Denecour,Kyle Henke,John Cecil,0.545454545
174,Austin Sol,AUDL 2016,Denenc C,Caleb Denecour,Caleb Denecour,Ben Lewis,Daniel Poindexter,0.454545455
175,Austin Sol,AUDL 2017,Dial B,Brandon Dial,Michael Hays,Brandon Dial,Michael Matthis,0.444444444
176,Austin Sol,AUDL 2018,E Moore,Elliott Moore,Elliott Moore,Jeff Loskorn,Max Cook,0.7
177,Austin Sol,AUDL 2018,EPollack,Ethan Pollack,Ethan Pollack,Jason Holleran,Nash Mock,0.761904762
178,Austin Sol,AUDL 2017,Frohli J,Johnny Frohlichstein,Johnny Frohlichstein,John Cecil,Brandon Dial,0.428571429
179,Austin Sol,AUDL 2016,Graman B,Brett Gramann,Brett Gramann,Ryan Bigley,Christopher Sackmann,0.571428571
180,Austin Sol,AUDL 2017,Graman B,Brett Gramann,Brett Gramann,Jason Best,Ryan Bigley,0.571428571
181,Austin Sol,AUDL 2016,Halpri K,Kevin Halprin,Kevin Halprin,Eric Hillis,David Boyea,0.571428571
182,Austin Sol,AUDL 2016,Hays M,Michael Hays,Nash Mock,Michael Hays,Lucky Mosola,0.444444444
183,Austin Sol,AUDL 2017,Hays M,Michael Hays,Nash Mock,Michael Hays,Jason Best,0.444444444
184,Austin Sol,AUDL 2017,Henke K,Kyle Henke,Kyle Henke,Steven Naji,Logan Kinney,0.588235294
185,Austin Sol,AUDL 2016,Hillis E,Eric Hillis,Eric Hillis,Michael Matthis,Mitchell Bennett,0.631578947
186,Austin Sol,AUDL 2016,Holler J,Jason Holleran,Jason Holleran,Carson Wilder,Rory Orloff,0.545454545
187,Austin Sol,AUDL 2018,J Cecil,John Cecil,John Cecil,Tyler Chiu,Corey Mika,0.823529412
188,Austin Sol,AUDL 2018,J Wolfe,Jerrod Wolfe,Jerrod Wolfe,Jason Holleran,Mick Walter,0.736842105
189,Austin Sol,AUDL 2018,J Zdrodo,Joshua Zdrodowski,Joshua Zdrodowski,Jerrod Wolfe,Jeff Loskorn,0.64
190,Austin Sol,AUDL 2018,JCecil,John Cecil,John Cecil,Corey Mika,Jerrod Wolfe,0.75
191,Austin Sol,AUDL 2018,JHollera,Jason Holleran,Jason Holleran,Ethan Pollack,Valley Renshaw,0.727272727
192,Austin Sol,AUDL 2018,JLoskorn,Jeff Loskorn,Jeff Loskorn,Jason Holleran,John Cecil,0.8
193,Austin Sol,AUDL 2018,K Daftar,Kamron Daftari,Kamron Daftari,Mick Walter,Paul Starkel,0.727272727
194,Austin Sol,AUDL 2018,K Henke,Kyle Henke,Kyle Henke,Matt Bennett,Kevin Halprin,0.823529412
195,Austin Sol,AUDL 2018,K Thomas,Kiran Thomas,Kiran Thomas,Nicholas Whale,Jeff Loskorn,0.8
196,Austin Sol,AUDL 2018,Kamron D,Kamron Daftari,Kamron Daftari,Kiran Thomas,Carlos Vargas,0.727272727
197,Austin Sol,AUDL 2018,Kevin Ha,Kevin Halprin,Kevin Halprin,Steven Naji,Kiran Thomas,0.761904762
198,Austin Sol,AUDL 2016,Kinney L,Logan Kinney,Logan Kinney,Kevin Halprin,Ben Lewis,0.6
199,Austin Sol,AUDL 2017,Kinney L,Logan Kinney,Logan Kinney,Mitchell Bennett,Kyle Henke,0.6
200,Austin Sol,AUDL 2016,Lewis B,Ben Lewis,Ben Lewis,Chris Brooks,David Boyea,0.625
201,Austin Sol,AUDL 2016,Loskor J,Jeff Loskorn,Jeff Loskorn,Lucky Mosola,Rory Orloff,0.6
202,Austin Sol,AUDL 2017,Loskor J,Jeff Loskorn,Jeff Loskorn,Lucky Mosola,Rory Orloff,0.6
203,Austin Sol,AUDL 2018,M Biersc,Matthew Bierschenk,Matthew Bierschenk,Ryan Bigley,Mick Walter,0.615384615
204,Austin Sol,AUDL 2018,M Cook,Max Cook,Max Cook,Chris Brooks,Nash Mock,0.857142857
205,Austin Sol,AUDL 2018,M Natenb,Michael Natenberg,Michael Natenberg,Mick Walter,Matt Bennett,0.64
206,Austin Sol,AUDL 2018,M Walter,Mick Walter,Mick Walter,Michael Natenberg,Nicholas Whale,0.842105263
207,Austin Sol,AUDL 2018,MMatthis,Michael Matthis,Michael Matthis,Matthew Bierschenk,Matt Bennett,0.695652174
208,Austin Sol,AUDL 2018,MaBennet,Matt Bennett,Matt Bennett,Mitchell Bennett,Michael Natenberg,0.8
209,Austin Sol,AUDL 2016,Matthi M,Michael Matthis,Michael Matthis,Nash Mock,David Boyea,0.52173913
210,Austin Sol,AUDL 2017,Matthi M,Michael Matthis,Michael Matthis,Nash Mock,Matthew Bierschenk,0.52173913
211,Austin Sol,AUDL 2018,MiBennet,Mitchell Bennett,Matt Bennett,Mitchell Bennett,Michael Natenberg,0.666666667
212,Austin Sol,AUDL 2016,Mock N,Nash Mock,Nash Mock,Michael Hays,Lucky Mosola,0.533333333
213,Austin Sol,AUDL 2017,Mock N,Nash Mock,Nash Mock,Mick Walter,Michael Hays,0.533333333
214,Austin Sol,AUDL 2017,Moore E,Elliott Moore,Elliott Moore,Rory Orloff,Michael Hays,0.5
