,Dallas Roughnecks,,Kurt,Gibson,Kurt Gibson,Kurt
4/1/17,Los Angeles Aviators,San Diego Growlers,Tom,Doi,Tom Doi,Doi T
4/1/17,Los Angeles Aviators,San Diego Growlers,Mark,Elbogen,Mark Elbogen,Elbogen
4/1/17,Los Angeles Aviators,San Diego Growlers,Eli,Friedman,Eli Friedman,Friedman
4/1/17,Los Angeles Aviators,San Diego Growlers,Brent,George,Brent George,George B
4/1/17,Los Angeles Aviators,San Diego Growlers,Kuo,Hsun Wang,Kuo Hsun Wang,Wang Kuo
4/1/17,Los Angeles Aviators,San Diego Growlers,Michael,Kiyoi,Michael Kiyoi,Kiyoi
4/1/17,Los Angeles Aviators,San Diego Growlers,Andrew,Kohl,Andrew Kohl,Kohl A
4/1/17,Los Angeles Aviators,San Diego Growlers,Eric,Lissner,Eric Lissner,Lissner
4/1/17,Los Angeles Aviators,San Diego Growlers,Josiah,Mort,Josiah Mort,Mort J
4/1/17,Los Angeles Aviators,San Diego Growlers,Bryan,Nguyen,Bryan Nguyen,Nguyen B
4/1/17,Los Angeles Aviators,San Diego Growlers,Nate,Ransom,Nate Ransom,Ransom N
4/1/17,Los Angeles Aviators,San Diego Growlers,Brandon,Severson,Brandon Severson,Severson
4/1/17,Los Angeles Aviators,San Diego Growlers,Mitchell,Steiner,Mitchell Steiner,Steiner
4/1/17,Los Angeles Aviators,San Diego Growlers,Zach,Theodore,Zach Theodore,Theodore
4/1/17,Los Angeles Aviators,San Diego Growlers,Matt,Theologidy,Matt Theologidy,Theologi
4/1/17,Los Angeles Aviators,San Diego Growlers,Aaron,Weaver,Aaron Weaver,Weaver A
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Zechariah,Avello,Zechariah Avello,Z Avello
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Andy,Barnhart,Andy Barnhart,Andy B
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Ben,Breault,Ben Breault,Ben B
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Tyler,Conger,Tyler Conger,Conger
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Jesse,Dahms,Jesse Dahms,Jesse D
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Ray,Davenport,Ray Davenport,Ray D
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Patrick,Dougherty,Patrick Dougherty,PatrickD
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Phillip,Dougherty,Phillip Dougherty,Phil D
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Ethan,Downs,Ethan Downs,Ethan D
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Matthew,Gallin,Matthew Gallin,Slater
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Colin,Grandon,Colin Grandon,Colin
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Corey,Hardesty,Corey Hardesty,Corey
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Patrick,Lindsey,Patrick Lindsey,Lindsey
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Javier,Ortiz,Javier Ortiz,Javi
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Xavier,Payne,Xavier Payne,Xavier
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Jesse,Shofner,Jesse Shofner,Jesse S
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Blake,Waldron,Blake Waldron,Blake W
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Grant,Waldron,Grant Waldron,Grant W
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Kyle,Welch,Kyle Welch,Kyle W
4/1/17,Nashville Nightwatch,Jacksonville Cannons,Jake,Wright,Jake Wright,Jake W
4/1/17,Raleigh Flyers,Atlanta Hustle,Justin,Allen,Justin Allen,Justin Allen
4/1/17,Raleigh Flyers,Atlanta Hustle,Matt,Bode,Matt Bode,Matt Bode
4/1/17,Raleigh Flyers,Atlanta Hustle,Ben,Dieter,Ben Dieter,Ben Dieter
4/1/17,Raleigh Flyers,Atlanta Hustle,Jacob,Fairfax,Jacob Fairfax,Jacob Fairfax
4/1/17,Raleigh Flyers,Atlanta Hustle,Nate,Goff,Nate Goff,Nate Goff
4/1/17,Raleigh Flyers,Atlanta Hustle,Tristan,Green,Tristan Green,Tristan Green
4/1/17,Raleigh Flyers,Atlanta Hustle,Josh,Hartzog,Josh Hartzog,Josh Hartzog
4/1/17,Raleigh Flyers,Atlanta Hustle,Goose,Helton,Goose Helton,Goose Helton
4/1/17,Raleigh Flyers,Atlanta Hustle,Micah,Hood,Micah Hood,Micah Hood
4/1/17,Raleigh Flyers,Atlanta Hustle,Evan,Howey,Evan Howey,Evan Howey
4/1/17,Raleigh Flyers,Atlanta Hustle,Mark,Lin,Mark Lin,Mark Lin
4/1/17,Raleigh Flyers,Atlanta Hustle,Terrence,Mitchell,Terrence Mitchell,Terrence Mitchell
4/1/17,Raleigh Flyers,Atlanta Hustle,Jonathan,Nethercutt,Jonathan Nethercutt,Jonathan Nethercutt
4/1/17,Raleigh Flyers,Atlanta Hustle,Jeff,Nordgren,Jeff Nordgren,Jeff Nordgren
4/1/17,Raleigh Flyers,Atlanta Hustle,David,Richardson,David Richardson,David Richardson
4/1/17,Raleigh Flyers,Atlanta Hustle,Noah,Saul,Noah Saul,Noah Saul
4/1/17,Raleigh Flyers,Atlanta Hustle,Liam,Searles Bohs,Liam Searles Bohs,Liam Searles Bohs
4/1/17,Raleigh Flyers,Atlanta Hustle,Shane,Sisco,Shane Sisco,Shane Sisco
4/1/17,Raleigh Flyers,Atlanta Hustle,David,Snoke,David Snoke,David Snoke
4/1/17,Raleigh Flyers,Atlanta Hustle,Hunter,Taylor,Hunter Taylor,Hunter Taylor
4/1/17,San Diego Growlers,Los Angeles Aviators,Tyler,Bacon,Tyler Bacon,Bacon
4/1/17,San Diego Growlers,Los Angeles Aviators,Dan,Bellinger,Dan Bellinger,Bellinge
4/1/17,San Diego Growlers,Los Angeles Aviators,Jesse,Cohen,Jesse Cohen,Cohen
4/1/17,San Diego Growlers,Los Angeles Aviators,Hunter,Corbett,Hunter Corbett,Corbett
4/1/17,San Diego Growlers,Los Angeles Aviators,Sam,Fontaine,Sam Fontaine,Fontaine
4/1/17,San Diego Growlers,Los Angeles Aviators,Will,Griffin,Will Griffin,Griffin
4/1/17,San Diego Growlers,Los Angeles Aviators,Sean,Ham,Sean Ham,Ham
4/1/17,San Diego Growlers,Los Angeles Aviators,Maxwell,Hume,Maxwell Hume,Hume
4/1/17,San Diego Growlers,Los Angeles Aviators,Zeke,Ivers,Zeke Ivers,Ivers
4/1/17,San Diego Growlers,Los Angeles Aviators,Dom,Leggio,Dom Leggio,Leggio
4/1/17,San Diego Growlers,Los Angeles Aviators,Steven,Milardovich,Steven Milardovich,Milardov
4/1/17,San Diego Growlers,Los Angeles Aviators,Nate,Page,Nate Page,Page
4/1/17,San Diego Growlers,Los Angeles Aviators,Matt,Parisi,Matt Parisi,Parisi
4/1/17,San Diego Growlers,Los Angeles Aviators,Trevor,Purdy,Trevor Purdy,Purdy
4/1/17,San Diego Growlers,Los Angeles Aviators,Jeff,Silverman,Jeff Silverman,Silverma
4/1/17,San Diego Growlers,Los Angeles Aviators,Mark,Slader,Mark Slader,Slader
4/1/17,San Diego Growlers,Los Angeles Aviators,Ryan,Slaughter,Ryan Slaughter,Slaughte
4/1/17,San Diego Growlers,Los Angeles Aviators,Kevin,Smith,Kevin Smith,Smith
4/1/17,San Diego Growlers,Los Angeles Aviators,Michael,Tran,Michael Tran,Tran
4/1/17,San Diego Growlers,Los Angeles Aviators,Casey,Wu,Casey Wu,Wu
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Patrick,Baylis,Patrick Baylis,Patrick Baylis
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Greg,Cohen,Greg Cohen,Greg Cohen
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Lucas,Dallmann,Lucas Dallmann,Lucas Dallmann
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Antoine,Davis,Antoine Davis,Antoine Davis
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Lior,Givol,Lior Givol,Lior Givol
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Andrew,Hagen,Andrew Hagen,Andrew Hagen
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Sam,Kanner,Sam Kanner,Sam Kanner
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Cody,Kirkland,Cody Kirkland,Cody Kirkland
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Beau,Kittredge,Beau Kittredge,Beau Kittredge
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Justin,Lim,Justin Lim,Justin Lim
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Grant,Lindsley,Grant Lindsley,Grant Lindsley
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Byron,Liu,Byron Liu,Byron Liu
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Brett,Petersen,Brett Petersen,Brett Petersen
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Cassidy,Rasmussen,Cassidy Rasmussen,Cassidy Rasmussen
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Marcelo,Sanchez,Marcelo Sanchez,Marcelo Sanchez
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Joel,Schlachet,Joel Schlachet,Joel Schlachet
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Michael,Spear,Michael Spear,Michael Spear
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Sam,Swink,Sam Swink,Sam Swink
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Mac,Taylor,Mac Taylor,Mac Taylor
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Sawyer,Thompson,Sawyer Thompson,Sawyer Thompson
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Vincenzo,Vitiello,Vincenzo Vitiello,Vincenzo Vitiello
4/1/17,San Francisco Flamethrowers,San Jose Spiders,Devon,Williams,Devon Williams,Devon Williams
4/1/17,San Jose Spiders,San Francisco Flamethrowers,David,Abram,David Abram,David A
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Sam,Adamson,Sam Adamson,Sam Adamson
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Nicholas,Alexander,Nicholas Alexander,Nichol A
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Andrew,Berry,Andrew Berry,Andrew Berry
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Evan,Boucher,Evan Boucher,Evan Boucher
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Evan,Brydon,Evan Brydon,Evan Brydon
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Chuck,Cao,Chuck Cao,Chuck C
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Steven,Chang,Steven Chang,Steven Chang
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Matthew,Crawford,Matthew Crawford,Matthe C
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Shane,Earley,Shane Earley,Shane Earley
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Ethan,Falat,Ethan Falat,Ethan F
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Brandon,Fein,Brandon Fein,Brandon Fein
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Jeremy,Kharrazi,Jeremy Kharrazi,Jeremy Kharrazi
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Ian,Meyer,Ian Meyer,Ian Meyer
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Andrew,Moore,Andrew Moore,Andrew Moore
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Justin,Norden,Justin Norden,Justin Norden
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Andy,Smith,Andy Smith,Andy Smith
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Jackson,Stearns,Jackson Stearns,Jackson Stearns
4/1/17,San Jose Spiders,San Francisco Flamethrowers,Kelly,Van Arsdale,Kelly Van Arsdale,Kelly Van Arsdale
4/1/17,San Jose Spiders,San Francisco Flamethrowers,James,Yeager,James Yeager,James Yeager
4/1/17,Seattle Cascades,Vancouver Riptide,Cam,Bailey,Cam Bailey,Cam B
4/1/17,Seattle Cascades,Vancouver Riptide,Ben,Beehner,Ben Beehner,Ben B
4/1/17,Seattle Cascades,Vancouver Riptide,Mark,Burton,Mark Burton,Mark B
4/1/17,Seattle Cascades,Vancouver Riptide,Will,Chen,Will Chen,Will C
4/1/17,Seattle Cascades,Vancouver Riptide,Donnie,Clark,Donnie Clark,Donnie C
4/1/17,Seattle Cascades,Vancouver Riptide,Alex,Duffel,Alex Duffel,Alex D
4/1/17,Seattle Cascades,Vancouver Riptide,Khalif,El-Salaam,Khalif El-Salaam,Khalif E
4/1/17,Seattle Cascades,Vancouver Riptide,Sam,Harkness,Sam Harkness,Sam H
4/1/17,Seattle Cascades,Vancouver Riptide,Brad,Houser,Brad Houser,Brad H
4/1/17,Seattle Cascades,Vancouver Riptide,Evan,Klein,Evan Klein,Evan K
4/1/17,Seattle Cascades,Vancouver Riptide,Mitch,Kulczak,Mitch Kulczak,Mitch K
4/1/17,Seattle Cascades,Vancouver Riptide,Andrew,Lynch,Andrew Lynch,Andrew L
4/1/17,Seattle Cascades,Vancouver Riptide,Mario,O'Brien,Mario O'Brien,Mario O
4/1/17,Seattle Cascades,Vancouver Riptide,Henry,Phan,Henry Phan,Henry P
4/1/17,Seattle Cascades,Vancouver Riptide,John,Randolph,John Randolph,John R
4/1/17,Seattle Cascades,Vancouver Riptide,Aldous,Root,Aldous Root,Aldous R
4/1/17,Seattle Cascades,Vancouver Riptide,Matt,Russell,Matt Russell,Matty R
4/1/17,Seattle Cascades,Vancouver Riptide,Adam,Simon,Adam Simon,Adam S
4/1/17,Seattle Cascades,Vancouver Riptide,Bryson,Simon Fox,Bryson Simon Fox,Bryson S
4/1/17,Seattle Cascades,Vancouver Riptide,Ben,Snell,Ben Snell,Ben S
4/1/17,Vancouver Riptide,Seattle Cascades,Ty,Barbieri,Ty Barbieri,Ty B
4/1/17,Vancouver Riptide,Seattle Cascades,Joel,Bellavance,Joel Bellavance,Joel
4/1/17,Vancouver Riptide,Seattle Cascades,Kevin,Chan,Kevin Chan,KChan
4/1/17,Vancouver Riptide,Seattle Cascades,Ted,Chu,Ted Chu,Ted Chu
4/1/17,Vancouver Riptide,Seattle Cascades,Alex,Davis,Alex Davis,Davis
4/1/17,Vancouver Riptide,Seattle Cascades,Chatha,Gagan,Chatha Gagan,Gagey
4/1/17,Vancouver Riptide,Seattle Cascades,Brayden,Gee,Brayden Gee,Brayden
4/1/17,Vancouver Riptide,Seattle Cascades,Kevin,Greer,Kevin Greer,KGreer
4/1/17,Vancouver Riptide,Seattle Cascades,Edward,Guo,Edward Guo,Guo
4/1/17,Vancouver Riptide,Seattle Cascades,Morgan,Hibbert,Morgan Hibbert,Morgan
4/1/17,Vancouver Riptide,Seattle Cascades,Samson,Hoy,Samson Hoy,Samson
4/1/17,Vancouver Riptide,Seattle Cascades,Levi,Jeske,Levi Jeske,Levi
4/1/17,Vancouver Riptide,Seattle Cascades,Yi-Min,Lin,Yi-Min Lin,Yi-Min
4/1/17,Vancouver Riptide,Seattle Cascades,Kevin,Lore,Kevin Lore,KLore
