,Dallas Roughnecks,,Kurt,Gibson,Kurt Gibson,Kurt
5/6/17,Ottawa Outlaws,Toronto Rush,Alec,Arsenault,Alec Arsenault,Alec A
5/6/17,Ottawa Outlaws,Toronto Rush,Geoff,Bevan,Geoff Bevan,Bevan
5/6/17,Ottawa Outlaws,Toronto Rush,Nick,Boucher,Nick Boucher,Nick B
5/6/17,Ottawa Outlaws,Toronto Rush,Leon,Forest-Nault,Leon Forest-Nault,L_on FN
5/6/17,Ottawa Outlaws,Toronto Rush,Kinley,Gee,Kinley Gee,Kinley G
5/6/17,Ottawa Outlaws,Toronto Rush,David,Hochhalter,David Hochhalter,Dave H
5/6/17,Ottawa Outlaws,Toronto Rush,Erik,Hunter,Erik Hunter,Erik H
5/6/17,Ottawa Outlaws,Toronto Rush,Pierre,Lemerle,Pierre Lemerle,Pierre L
5/6/17,Ottawa Outlaws,Toronto Rush,Laurent,Loiseau,Laurent Loiseau,Laurent
5/6/17,Ottawa Outlaws,Toronto Rush,Jordan,McGregor,Jordan McGregor,Jordan M
5/6/17,Ottawa Outlaws,Toronto Rush,Paul,Mensah,Paul Mensah,Paul M
5/6/17,Ottawa Outlaws,Toronto Rush,Luca,Miglioretto,Luca Miglioretto,Luca M
5/6/17,Ottawa Outlaws,Toronto Rush,Russ,Nicolls,Russ Nicolls,Russ N
5/6/17,Ottawa Outlaws,Toronto Rush,Matt,O'Brien,Matt O'Brien,Matt OB
5/6/17,Ottawa Outlaws,Toronto Rush,Andrew,Ouchterlony,Andrew Ouchterlony,Andy O
5/6/17,Ottawa Outlaws,Toronto Rush,Paul,Renaud,Paul Renaud,Paul R
5/6/17,Ottawa Outlaws,Toronto Rush,Tyler,Sadler,Tyler Sadler,Tyler S
5/6/17,Ottawa Outlaws,Toronto Rush,Scott,Westwell,Scott Westwell,Scott
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Ethan,Beardsley,Ethan Beardsley,Beards E
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Aaron,Buss,Aaron Buss,Buss A
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Jon,DeAmicis,Jon DeAmicis,DeAmic J
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Pat,Earles,Pat Earles,Earles P
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Max,Fedorenko,Max Fedorenko,Fedore M
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Kenny,Furdella,Kenny Furdella,Furdel K
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Nick,Gigliotti,Nick Gigliotti,Giglio N
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Pat,Hammonds,Pat Hammonds,Hammon P
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Jack,Hefferon,Jack Hefferon,Heffer J
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Joe,Marmerstein,Joe Marmerstein,Marmer J
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Jon,Mast,Jon Mast,Mast J
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Xavier,Maxstadt,Xavier Maxstadt,Maxsta X
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Steve,Mogielski,Steve Mogielski,Mogiel S
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Anson,Reppermund,Anson Reppermund,Repper A
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Jake,Rovner,Jake Rovner,Rovner J
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Alex,Thomas,Alex Thomas,Thomas A
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Max,Thorne,Max Thorne,Thorne M
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Scott,Trimble,Scott Trimble,Trimbl S
5/6/17,Pittsburgh Thunderbirds,Seattle Cascades,Tad,Wissel,Tad Wissel,Wissel T
5/6/17,San Diego Growlers,Vancouver Riptide,Tyler,Bacon,Tyler Bacon,Bacon
5/6/17,San Diego Growlers,Vancouver Riptide,Dan,Bellinger,Dan Bellinger,Bellinge
5/6/17,San Diego Growlers,Vancouver Riptide,Daniel,Bellissimo,Daniel Bellissimo,Bellissi
5/6/17,San Diego Growlers,Vancouver Riptide,Nate,Bridges,Nate Bridges,Bridges
5/6/17,San Diego Growlers,Vancouver Riptide,Jesse,Cohen,Jesse Cohen,Cohen
5/6/17,San Diego Growlers,Vancouver Riptide,Hunter,Corbett,Hunter Corbett,Corbett
5/6/17,San Diego Growlers,Vancouver Riptide,Travis,Dunn,Travis Dunn,Dunn
5/6/17,San Diego Growlers,Vancouver Riptide,Sean,Ham,Sean Ham,Ham
5/6/17,San Diego Growlers,Vancouver Riptide,Maxwell,Hume,Maxwell Hume,Hume
5/6/17,San Diego Growlers,Vancouver Riptide,Zeke,Ivers,Zeke Ivers,Ivers
5/6/17,San Diego Growlers,Vancouver Riptide,Josh,Kohl,Josh Kohl,Kohl
5/6/17,San Diego Growlers,Vancouver Riptide,Dom,Leggio,Dom Leggio,Leggio
5/6/17,San Diego Growlers,Vancouver Riptide,Steven,Milardovich,Steven Milardovich,Milardov
5/6/17,San Diego Growlers,Vancouver Riptide,Nate,Page,Nate Page,Page
5/6/17,San Diego Growlers,Vancouver Riptide,Matt,Parisi,Matt Parisi,Parisi
5/6/17,San Diego Growlers,Vancouver Riptide,Trevor,Purdy,Trevor Purdy,Purdy
5/6/17,San Diego Growlers,Vancouver Riptide,David,Richie,David Richie,Ritchie
5/6/17,San Diego Growlers,Vancouver Riptide,Jeff,Silverman,Jeff Silverman,Silverma
5/6/17,San Diego Growlers,Vancouver Riptide,Ryan,Slaughter,Ryan Slaughter,Slaughte
5/6/17,San Diego Growlers,Vancouver Riptide,Kyle,Smith,Kyle Smith,Smith Ky
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Cam,Bailey,Cam Bailey,Cam B
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Mark,Burton,Mark Burton,Mark B
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Will,Chen,Will Chen,Will C
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Donnie,Clark,Donnie Clark,Donnie C
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,John,Doherty,John Doherty,John D
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Alex,Duffel,Alex Duffel,Alex D
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Khalif,El-Salaam,Khalif El-Salaam,Khalif E
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Robbie,Farwell,Robbie Farwell,Robbie F
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Brad,Houser,Brad Houser,Brad H
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Zach,Jackson,Zach Jackson,Zach J
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Mitch,Kulczak,Mitch Kulczak,Mitch K
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Tommy,Li,Tommy Li,Tommy L
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Daniel,Montoya,Daniel Montoya,Daniel M
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Henry,Phan,Henry Phan,Henry P
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Sam,Pickel,Sam Pickel,Sam P
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,John,Randolph,John Randolph,John R
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Aldous,Root,Aldous Root,Aldous R
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Matt,Russell,Matt Russell,Matty R
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Adam,Simon,Adam Simon,Adam S
5/6/17,Seattle Cascades,Pittsburgh Thunderbirds,Bryson,Simon Fox,Bryson Simon Fox,Bryson S
5/6/17,Toronto Rush,Ottawa Outlaws,Connor,Armstrong,Connor Armstrong,Armstron
5/6/17,Toronto Rush,Ottawa Outlaws,Benjamin,Burelle,Benjamin Burelle,Burelle
5/6/17,Toronto Rush,Ottawa Outlaws,Andrew,Carroll,Andrew Carroll,Carroll
5/6/17,Toronto Rush,Ottawa Outlaws,Greg,Ellis,Greg Ellis,Ellis
5/6/17,Toronto Rush,Ottawa Outlaws,Cameron,Harris,Cameron Harris,Harris
5/6/17,Toronto Rush,Ottawa Outlaws,Gord,Harrison,Gord Harrison,Harrison
5/6/17,Toronto Rush,Ottawa Outlaws,Jacky,Hau,Jacky Hau,Hau
5/6/17,Toronto Rush,Ottawa Outlaws,Mike,Jones,Mike Jones,Jones
5/6/17,Toronto Rush,Ottawa Outlaws,Jeff,Lindquist,Jeff Lindquist,Linq
5/6/17,Toronto Rush,Ottawa Outlaws,Iain,Mackenzie,Iain Mackenzie,Iain M
5/6/17,Toronto Rush,Ottawa Outlaws,Mike,Mackenzie,Mike Mackenzie,Mike M
5/6/17,Toronto Rush,Ottawa Outlaws,Jonathan,Martin,Jonathan Martin,Martin
5/6/17,Toronto Rush,Ottawa Outlaws,Isaiah,Masek-Kelly,Isaiah Masek-Kelly,Isaiah
5/6/17,Toronto Rush,Ottawa Outlaws,Thomson,McKnight,Thomson McKnight,McKnight
5/6/17,Toronto Rush,Ottawa Outlaws,Jaret,Meron,Jaret Meron,Meron
5/6/17,Toronto Rush,Ottawa Outlaws,Jeremy,Norden,Jeremy Norden,Norden
5/6/17,Toronto Rush,Ottawa Outlaws,Remi,Ojo,Remi Ojo,Ojo
5/6/17,Toronto Rush,Ottawa Outlaws,Bretton,Tan,Bretton Tan,Tan
5/6/17,Toronto Rush,Ottawa Outlaws,Jeffrey,Woo,Jeffrey Woo,Woo
5/6/17,Toronto Rush,Ottawa Outlaws,Adrian,Yearwood,Adrian Yearwood,Yearwood
5/6/17,Vancouver Riptide,San Diego Growlers,Ty,Barbieri,Ty Barbieri,Ty B
5/6/17,Vancouver Riptide,San Diego Growlers,Joel,Bellavance,Joel Bellavance,Joel
5/6/17,Vancouver Riptide,San Diego Growlers,Kevin,Chan,Kevin Chan,KChan
5/6/17,Vancouver Riptide,San Diego Growlers,Patrick,Church,Patrick Church,Church
5/6/17,Vancouver Riptide,San Diego Growlers,Alex,Davis,Alex Davis,Davis
5/6/17,Vancouver Riptide,San Diego Growlers,Peter,Galbraith,Peter Galbraith,Peter G
5/6/17,Vancouver Riptide,San Diego Growlers,Brayden,Gee,Brayden Gee,Brayden
5/6/17,Vancouver Riptide,San Diego Growlers,Kevin,Greer,Kevin Greer,KGreer
5/6/17,Vancouver Riptide,San Diego Growlers,Edward,Guo,Edward Guo,Guo
5/6/17,Vancouver Riptide,San Diego Growlers,Samson,Hoy,Samson Hoy,Samson
5/6/17,Vancouver Riptide,San Diego Growlers,Trevor,Knechtel,Trevor Knechtel,Trevor
5/6/17,Vancouver Riptide,San Diego Growlers,Fred,Lam,Fred Lam,Fred
5/6/17,Vancouver Riptide,San Diego Growlers,Yi-Min,Lin,Yi-Min Lin,Yi-Min
5/6/17,Vancouver Riptide,San Diego Growlers,Kevin,Lore,Kevin Lore,KLore
5/6/17,Vancouver Riptide,San Diego Growlers,Greg,Moore,Greg Moore,Moore
5/6/17,Vancouver Riptide,San Diego Growlers,Nima,Mostaghim,Nima Mostaghim,Nima
5/6/17,Vancouver Riptide,San Diego Growlers,Ari,Nitikman,Ari Nitikman,Ari
5/6/17,Vancouver Riptide,San Diego Growlers,Alistair,Robb,Alistair Robb,Alistair
5/6/17,Vancouver Riptide,San Diego Growlers,Tim,Tsang,Tim Tsang,Tim
5/6/17,Vancouver Riptide,San Diego Growlers,William,Vu,William Vu,Will Vu
5/7/17,Austin Sol,Nashville Nightwatch,Victor,Bautista,Victor Bautista,Victor Bautista Gonzalez
5/7/17,Austin Sol,Nashville Nightwatch,Mitchell,Bennett,Mitchell Bennett,Mitchell Bennett
5/7/17,Austin Sol,Nashville Nightwatch,Jason,Best,Jason Best,Jason Best
5/7/17,Austin Sol,Nashville Nightwatch,John,Cecil,John Cecil,Cecil J
5/7/17,Austin Sol,Nashville Nightwatch,Chase,Cunningham,Chase Cunningham,Cunnin C
5/7/17,Austin Sol,Nashville Nightwatch,Kamron,Daftari,Kamron Daftari,Daftar K
5/7/17,Austin Sol,Nashville Nightwatch,Aubrey,Davis,Aubrey Davis,Aubrey Davis
5/7/17,Austin Sol,Nashville Nightwatch,Caleb,Denecour,Caleb Denecour,Deneco C
5/7/17,Austin Sol,Nashville Nightwatch,Johnny,Frohlichstein,Johnny Frohlichstein,Frohli J
5/7/17,Austin Sol,Nashville Nightwatch,Michael,Hays,Michael Hays,Hays M
5/7/17,Austin Sol,Nashville Nightwatch,Jeff,Loskorn,Jeff Loskorn,Jeff Loskorn
5/7/17,Austin Sol,Nashville Nightwatch,Nash,Mock,Nash Mock,Nash Mock
5/7/17,Austin Sol,Nashville Nightwatch,Elliott,Moore,Elliott Moore,Moore E
5/7/17,Austin Sol,Nashville Nightwatch,Steven,Naji,Steven Naji,Naji S
5/7/17,Austin Sol,Nashville Nightwatch,Ryan,Purcell,Ryan Purcell,Purcel R
5/7/17,Austin Sol,Nashville Nightwatch,Doug,Richardson,Doug Richardson,Richar D
5/7/17,Austin Sol,Nashville Nightwatch,Nathan,Sany,Nathan Sany,Sany N
5/7/17,Austin Sol,Nashville Nightwatch,Jason,Schafer,Jason Schafer,Schafe J
5/7/17,Austin Sol,Nashville Nightwatch,Andrew,Walch,Andrew Walch,Walch A
5/7/17,Austin Sol,Nashville Nightwatch,Mick,Walter,Mick Walter,Mick Walter
5/7/17,Los Angeles Aviators,Vancouver Riptide,Ted,Barnett,Ted Barnett,Barnett
5/7/17,Los Angeles Aviators,Vancouver Riptide,Jacob,Bartholomew,Jacob Bartholomew,Bartholo
5/7/17,Los Angeles Aviators,Vancouver Riptide,Timothy,Beatty,Timothy Beatty,Beatty
5/7/17,Los Angeles Aviators,Vancouver Riptide,Steven,Brooks,Steven Brooks,Brooks S
5/7/17,Los Angeles Aviators,Vancouver Riptide,Mark,Elbogen,Mark Elbogen,Elbogen
5/7/17,Los Angeles Aviators,Vancouver Riptide,Caleb,Ferguson,Caleb Ferguson,Ferguson
5/7/17,Los Angeles Aviators,Vancouver Riptide,Brent,George,Brent George,George B
5/7/17,Los Angeles Aviators,Vancouver Riptide,Kuo,Hsun Wang,Kuo Hsun Wang,Wang Kuo
5/7/17,Los Angeles Aviators,Vancouver Riptide,Michael,Kiyoi,Michael Kiyoi,Kiyoi
5/7/17,Los Angeles Aviators,Vancouver Riptide,Allen,Lai,Allen Lai,Lai A
5/7/17,Los Angeles Aviators,Vancouver Riptide,Eric,Lissner,Eric Lissner,Lissner
5/7/17,Los Angeles Aviators,Vancouver Riptide,Sean,McDougall,Sean McDougall,McDougal
5/7/17,Los Angeles Aviators,Vancouver Riptide,Josiah,Mort,Josiah Mort,Mort J
5/7/17,Los Angeles Aviators,Vancouver Riptide,Bryan,Nguyen,Bryan Nguyen,Nguyen B
5/7/17,Los Angeles Aviators,Vancouver Riptide,Andrew,Padula,Andrew Padula,Padula A
5/7/17,Los Angeles Aviators,Vancouver Riptide,Nate,Ransom,Nate Ransom,Ransom N
5/7/17,Los Angeles Aviators,Vancouver Riptide,Brandon,Severson,Brandon Severson,Severson
5/7/17,Los Angeles Aviators,Vancouver Riptide,Mitchell,Steiner,Mitchell Steiner,Steiner
5/7/17,Los Angeles Aviators,Vancouver Riptide,Zach,Theodore,Zach Theodore,Theodore
5/7/17,Los Angeles Aviators,Vancouver Riptide,Matt,Theologidy,Matt Theologidy,Theologi
5/7/17,Montreal Royal,Toronto Rush,Andr_,Arsenault,Andr_ Arsenault,Andr_ Arsenault
5/7/17,Montreal Royal,Toronto Rush,Malik,Auger-Semmar,Malik Auger-Semmar,AugerSem
5/7/17,Montreal Royal,Toronto Rush,Quentin,Bonnaud,Quentin Bonnaud,Quentin Bonnaud
5/7/17,Montreal Royal,Toronto Rush,Steve,Bonneau,Steve Bonneau,Steve Bonneau
5/7/17,Montreal Royal,Toronto Rush,F_lix-Antoine,Daigle,F_lix-Antoine Daigle,F_lix-Antoine Daigle
5/7/17,Montreal Royal,Toronto Rush,David,Ferraro,David Ferraro,David Ferraro
5/7/17,Montreal Royal,Toronto Rush,Antoine,Genest,Antoine Genest,Antoine Genest
5/7/17,Montreal Royal,Toronto Rush,Joseph,Genest,Joseph Genest,Joseph Genest
5/7/17,Montreal Royal,Toronto Rush,Miguel,Goderre,Miguel Goderre,Miguel Goderre
5/7/17,Montreal Royal,Toronto Rush,Kevin,Groulx,Kevin Groulx,Kevin Groulx
5/7/17,Montreal Royal,Toronto Rush,Ben,Katz,Ben Katz,Ben Katz
5/7/17,Montreal Royal,Toronto Rush,Basile,Limoges,Basile Limoges,Basile Limoges
5/7/17,Montreal Royal,Toronto Rush,Nasser,Mbae Vogel,Nasser Mbae Vogel,Nasser Mbae Vogel
5/7/17,Montreal Royal,Toronto Rush,Gabriel,Monfette,Gabriel Monfette,Gabriel Monfette
5/7/17,Montreal Royal,Toronto Rush,Kevin,Quinlan,Kevin Quinlan,Kevin Quinlan
5/7/17,Montreal Royal,Toronto Rush,Maxwell,Rick,Maxwell Rick,Maxwell Rick
5/7/17,Montreal Royal,Toronto Rush,Jean-Philippe,Riopel,Jean-Philippe Riopel,Jean-Philippe Riopel
5/7/17,Montreal Royal,Toronto Rush,Jordan,Taylor,Jordan Taylor,Jordan Taylor
5/7/17,Montreal Royal,Toronto Rush,Philippe,Thivierge,Philippe Thivierge,Philippe Thivierge
5/7/17,Montreal Royal,Toronto Rush,Francis,Vall_e,Francis Vall_e,Francis Vallee
5/7/17,Nashville Nightwatch,Austin Sol,Zechariah,Avello,Zechariah Avello,Z Avello
5/7/17,Nashville Nightwatch,Austin Sol,Andy,Barnhart,Andy Barnhart,Andy B
5/7/17,Nashville Nightwatch,Austin Sol,Ben,Breault,Ben Breault,Ben B
5/7/17,Nashville Nightwatch,Austin Sol,John,Carden,John Carden,Carden
5/7/17,Nashville Nightwatch,Austin Sol,Patrick,Dougherty,Patrick Dougherty,PatrickD
5/7/17,Nashville Nightwatch,Austin Sol,Phillip,Dougherty,Phillip Dougherty,Phil D
5/7/17,Nashville Nightwatch,Austin Sol,Matthew,Gallin,Matthew Gallin,Slater
5/7/17,Nashville Nightwatch,Austin Sol,Colin,Grandon,Colin Grandon,Colin
5/7/17,Nashville Nightwatch,Austin Sol,Corey,Hardesty,Corey Hardesty,Corey
5/7/17,Nashville Nightwatch,Austin Sol,Patrick,Lindsey,Patrick Lindsey,Lindsey
5/7/17,Nashville Nightwatch,Austin Sol,Danny,On,Danny On,Danny On
5/7/17,Nashville Nightwatch,Austin Sol,Javier,Ortiz,Javier Ortiz,Javi
5/7/17,Nashville Nightwatch,Austin Sol,Xavier,Payne,Xavier Payne,Xavier
5/7/17,Nashville Nightwatch,Austin Sol,Mark,Philipson,Mark Philipson,Mark
5/7/17,Nashville Nightwatch,Austin Sol,Jesse,Shofner,Jesse Shofner,Jesse S
5/7/17,Nashville Nightwatch,Austin Sol,Cameron,Snook,Cameron Snook,Cam Snoo
5/7/17,Nashville Nightwatch,Austin Sol,Blake,Waldron,Blake Waldron,Blake W
5/7/17,Nashville Nightwatch,Austin Sol,Grant,Waldron,Grant Waldron,Grant W
5/7/17,Nashville Nightwatch,Austin Sol,Jake,Wright,Jake Wright,Jake W
5/7/17,Toronto Rush,Montreal Royal,Connor,Armstrong,Connor Armstrong,Armstron
5/7/17,Toronto Rush,Montreal Royal,Benjamin,Burelle,Benjamin Burelle,Burelle
5/7/17,Toronto Rush,Montreal Royal,Andrew,Carroll,Andrew Carroll,Carroll
5/7/17,Toronto Rush,Montreal Royal,Greg,Ellis,Greg Ellis,Ellis
5/7/17,Toronto Rush,Montreal Royal,Cameron,Harris,Cameron Harris,Harris
5/7/17,Toronto Rush,Montreal Royal,Gord,Harrison,Gord Harrison,Harrison
5/7/17,Toronto Rush,Montreal Royal,Jacky,Hau,Jacky Hau,Hau
5/7/17,Toronto Rush,Montreal Royal,Jeff,Lindquist,Jeff Lindquist,Linq
5/7/17,Toronto Rush,Montreal Royal,Iain,Mackenzie,Iain Mackenzie,Iain M
5/7/17,Toronto Rush,Montreal Royal,Mike,Mackenzie,Mike Mackenzie,Mike M
5/7/17,Toronto Rush,Montreal Royal,Jonathan,Martin,Jonathan Martin,Martin
5/7/17,Toronto Rush,Montreal Royal,Isaiah,Masek-Kelly,Isaiah Masek-Kelly,Isaiah
5/7/17,Toronto Rush,Montreal Royal,Thomson,McKnight,Thomson McKnight,McKnight
5/7/17,Toronto Rush,Montreal Royal,Jaret,Meron,Jaret Meron,Meron
5/7/17,Toronto Rush,Montreal Royal,Jeremy,Norden,Jeremy Norden,Norden
5/7/17,Toronto Rush,Montreal Royal,Remi,Ojo,Remi Ojo,Ojo
5/7/17,Toronto Rush,Montreal Royal,Bretton,Tan,Bretton Tan,Tan
5/7/17,Toronto Rush,Montreal Royal,Paul,Tatulea,Paul Tatulea,Tatulea
5/7/17,Toronto Rush,Montreal Royal,Adrian,Yearwood,Adrian Yearwood,Yearwood
5/7/17,Toronto Rush,Montreal Royal,Marijo,Zlatic,Marijo Zlatic,Zlatic
5/7/17,Vancouver Riptide,Los Angeles Aviators,Ty,Barbieri,Ty Barbieri,Ty B
5/7/17,Vancouver Riptide,Los Angeles Aviators,Joel,Bellavance,Joel Bellavance,Joel
5/7/17,Vancouver Riptide,Los Angeles Aviators,Kevin,Chan,Kevin Chan,KChan
5/7/17,Vancouver Riptide,Los Angeles Aviators,Patrick,Church,Patrick Church,Church
5/7/17,Vancouver Riptide,Los Angeles Aviators,Alex,Davis,Alex Davis,Davis
5/7/17,Vancouver Riptide,Los Angeles Aviators,Peter,Galbraith,Peter Galbraith,Peter G
5/7/17,Vancouver Riptide,Los Angeles Aviators,Brayden,Gee,Brayden Gee,Brayden
5/7/17,Vancouver Riptide,Los Angeles Aviators,Kevin,Greer,Kevin Greer,KGreer
5/7/17,Vancouver Riptide,Los Angeles Aviators,Edward,Guo,Edward Guo,Guo
5/7/17,Vancouver Riptide,Los Angeles Aviators,Samson,Hoy,Samson Hoy,Samson
5/7/17,Vancouver Riptide,Los Angeles Aviators,Trevor,Knechtel,Trevor Knechtel,Trevor
5/7/17,Vancouver Riptide,Los Angeles Aviators,Fred,Lam,Fred Lam,Fred
5/7/17,Vancouver Riptide,Los Angeles Aviators,Yi-Min,Lin,Yi-Min Lin,Yi-Min
5/7/17,Vancouver Riptide,Los Angeles Aviators,Kevin,Lore,Kevin Lore,KLore
5/7/17,Vancouver Riptide,Los Angeles Aviators,Greg,Moore,Greg Moore,Moore
5/7/17,Vancouver Riptide,Los Angeles Aviators,Nima,Mostaghim,Nima Mostaghim,Nima
5/7/17,Vancouver Riptide,Los Angeles Aviators,Ari,Nitikman,Ari Nitikman,Ari
5/7/17,Vancouver Riptide,Los Angeles Aviators,Alistair,Robb,Alistair Robb,Alistair
5/7/17,Vancouver Riptide,Los Angeles Aviators,Tim,Tsang,Tim Tsang,Tim
5/7/17,Vancouver Riptide,Los Angeles Aviators,William,Vu,William Vu,Will Vu
5/12/17,Dallas Roughnecks,Jacksonville Cannons,Reid,Bacon,Reid Bacon,Reid Bacon
5/12/17,Dallas Roughnecks,Jacksonville Cannons,Matt,Bennett,Matt Bennett,Matt Bennett
5/12/17,Dallas Roughnecks,Jacksonville Cannons,Paul,Burt,Paul Burt,Paul Burt
5/12/17,Dallas Roughnecks,Jacksonville Cannons,Abe,Coffin,Abe Coffin,Abe Coffin
5/12/17,Dallas Roughnecks,Jacksonville Cannons,Patrick,Eberle,Patrick Eberle,Patrick Eberle
5/12/17,Dallas Roughnecks,Jacksonville Cannons,Dylan,Freechild,Dylan Freechild,Dylan Freechild
5/12/17,Dallas Roughnecks,Jacksonville Cannons,Jay,Froude,Jay Froude,Jay Froude
5/12/17,Dallas Roughnecks,Jacksonville Cannons,Jason,Holleran,Jason Holleran,Jason Holleran
5/12/17,Dallas Roughnecks,Jacksonville Cannons,Matt,Jackson,Matt Jackson,Matt Jackson
5/12/17,Dallas Roughnecks,Jacksonville Cannons,Chris,Larberg,Chris Larberg,Chris Larberg
5/12/17,Dallas Roughnecks,Jacksonville Cannons,Ashton,Lewis,Ashton Lewis,Ashton Lewis
5/12/17,Dallas Roughnecks,Jacksonville Cannons,Brandon,Malecek,Brandon Malecek,Brandon Malecek
5/12/17,Dallas Roughnecks,Jacksonville Cannons,Kai,Marshall,Kai Marshall,Kai Marshall
5/12/17,Dallas Roughnecks,Jacksonville Cannons,Chris,Mazur,Chris Mazur,Chris Mazur
5/12/17,Dallas Roughnecks,Jacksonville Cannons,Jimmy,Mickle,Jimmy Mickle,Jimmy Mickle
5/12/17,Dallas Roughnecks,Jacksonville Cannons,Stanley,Peterson,Stanley Peterson,Stanley Peterson
5/12/17,Dallas Roughnecks,Jacksonville Cannons,Dalton,Smith,Dalton Smith,Dalton Smith
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Alex,Bullock,Alex Bullock,Alex Bullock
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Andrew,Carleton,Andrew Carleton,Andrew Carleton
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Travis,Catron,Travis Catron,Catron
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Ryan,Chard,Ryan Chard,Chard
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Michael,Fairley,Michael Fairley,Fairley
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Mischa,Freystaetter,Mischa Freystaetter,Freystae
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Chris,Gibson,Chris Gibson,Gibson
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Michael,Hickson,Michael Hickson,Hickson
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Jordan,Huston,Jordan Huston,Jordan Huston
5/12/17,Jacksonville Cannons,Dallas Roughnecks,James,Koerner,James Koerner,James Koerner
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Tyler,Kunsa,Tyler Kunsa,Tyler Kunsa
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Jeremy,Langdon,Jeremy Langdon,Langdon
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Chris,LaRocque,Chris LaRocque,LaRocque
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Bobby,Ley,Bobby Ley,Ley
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Brandon,Perales,Brandon Perales,Perales
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Jakeem,Polk,Jakeem Polk,Polk
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Andrew,Roney,Andrew Roney,Andrew Roney
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Bradley,Seuntjens,Bradley Seuntjens,Seuntjen
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Cole,Sullivan,Cole Sullivan,Cole Sullivan
5/12/17,Jacksonville Cannons,Dallas Roughnecks,Dustin,Travaglini,Dustin Travaglini,Travagli
5/13/17,Atlanta Hustle,Nashville Nightwatch,Evan,Boecking,Evan Boecking,Boecking
5/13/17,Atlanta Hustle,Nashville Nightwatch,Robert,Bradham,Robert Bradham,Bradham
5/13/17,Atlanta Hustle,Nashville Nightwatch,JP,Burns,JP Burns,JP Burns
5/13/17,Atlanta Hustle,Nashville Nightwatch,Josh,Bush,Josh Bush,Bush
5/13/17,Atlanta Hustle,Nashville Nightwatch,Sun,Choi,Sun Choi,Sun
5/13/17,Atlanta Hustle,Nashville Nightwatch,Sam,Gainer,Sam Gainer,Gainer
5/13/17,Atlanta Hustle,Nashville Nightwatch,Taylor,Goforth,Taylor Goforth,Tree
