,Year,Teamname,Username,PlayerName
109,2019,Columbus Pride,M Tourno,Monica Tournoux
110,2019,Columbus Pride,M Turner,Mary Turner
40,2019,Atlanta Soul,M Yang,Michelle Yang
111,2019,Columbus Pride,Mary,Mary Turner
278,2019,Raleigh Radiance,MurphyAm,Amanda Murphy
222,2019,New York Gridlock,N Hair,Nikki Hair
197,2019,Nashville Nightshade,N Holmes,Noel Holmes
198,2019,Nashville Nightshade,N Kern,Nora Kern
147,2019,Indy Red,N Kwee,Nichole Kwee
223,2019,New York Gridlock,N Tanghe,Nastasia Tangherlini
148,2019,Indy Red,P Kemmer,Phebe Kemmer
41,2019,Atlanta Soul,P Sevill,Paula Seville
42,2019,Atlanta Soul,Paula S,Paula Seville
279,2019,Raleigh Radiance,PeasleeE,Emma Peaslee
43,2019,Atlanta Soul,Perivier,Marie Perivier
44,2019,Atlanta Soul,Peterson,Ollie Peterson
280,2019,Raleigh Radiance,Player27,Player27
281,2019,Raleigh Radiance,Player55,Player55
282,2019,Raleigh Radiance,R Fagan,Rebecca Fagan
45,2019,Atlanta Soul,R Fennig,Robyn Fennig
199,2019,Nashville Nightshade,R Freedm,Rachael Freedman
73,2019,Austin Torch,R Yeager,Rachel Yeager
283,2019,Raleigh Radiance,R. Fagan,Rebecca Fagan
284,2019,Raleigh Radiance,ReedKris,ReedKris
46,2019,Atlanta Soul,Reeves,Megan Reeves
285,2019,Raleigh Radiance,RobbinsA,Alix Robbins
112,2019,Columbus Pride,Rufus,Rufus
47,2019,Atlanta Soul,S Crawfo,Shanye Crawford
286,2019,Raleigh Radiance,S Dieter,Sara Dieter
224,2019,New York Gridlock,S Dobkin,Sydney Dobkin
74,2019,Austin Torch,S Fernan,Skye Fernandez
48,2019,Atlanta Soul,S Hill,Sam Hill
113,2019,Columbus Pride,S Jezier,Sadie Jezierski
225,2019,New York Gridlock,S Johnso,Sarah Johnson
114,2019,Columbus Pride,S Knowle,Sophie Knowles
200,2019,Nashville Nightshade,S Lima,Sofia Lima
115,2019,Columbus Pride,S Miller,Stevie Miller
149,2019,Indy Red,S Olund,Sydney Olund
75,2019,Austin Torch,S Overma,Sydney Overman
76,2019,Austin Torch,S Rabie,Shereen Rabie
201,2019,Nashville Nightshade,S Rimmer,Sierra Rimmer
49,2019,Atlanta Soul,S Stoval,Sam Stovall-Jones
77,2019,Austin Torch,S Tsao,Sharon Tsao
202,2019,Nashville Nightshade,S Wang,Stephenie Wang
287,2019,Raleigh Radiance,S Whale,Simone Whale
150,2019,Indy Red,S Wong,Sammi Wong
116,2019,Columbus Pride,S Yee,Sharon Yee
288,2019,Raleigh Radiance,S. Diete,Sara Dieter
117,2019,Columbus Pride,Sab,Sab
50,2019,Atlanta Soul,Sammy,Sammie Daugherty
118,2019,Columbus Pride,Shakes,Shakes
289,2019,Raleigh Radiance,SooLinds,Lindsay Soo
119,2019,Columbus Pride,Sophie,Sophie Knowles
290,2019,Raleigh Radiance,StanlanL,Lyla Stanland
120,2019,Columbus Pride,Stevie,Stevie Miller
51,2019,Atlanta Soul,Stovall,Sam Stovall-Jones
226,2019,New York Gridlock,T Dougla,Tulsa Douglas
121,2019,Columbus Pride,T LiBass,Tina LiBassi
122,2019,Columbus Pride,T Lim,Tiffany Lim
78,2019,Austin Torch,T Schuma,Tiffany Schumacher
227,2019,New York Gridlock,T Smit,Tricia Smit
79,2019,Austin Torch,T Woodin,Tina Woodings
123,2019,Columbus Pride,Tico,Tico
291,2019,Raleigh Radiance,TseGeorg,Georgia Tse
170,2019,Medellin Revolution,V Carden,Valeria Cardenas
228,2019,New York Gridlock,V Kolegu,Veronica Kolegue-Spalaris
80,2019,Austin Torch,V Pinnil,Valerie Pinillos
