id,Teamname,Tournament,Username,PlayerName
279,Charlotte Express,AUDL 2016,Lieber J,Jesse Lieberman
280,Charlotte Express,AUDL 2015,McCall S,Sean McCall
281,Charlotte Express,AUDL 2016,McSher C,Clint McSherry
282,Charlotte Express,AUDL 2016,Minch T,Micah Hood
283,Charlotte Express,AUDL 2016,Mossma D,Davis Mossman
284,Charlotte Express,AUDL 2015,Muniz C,Charlie Muniz
285,Charlotte Express,AUDL 2016,Muniz C,Charlie Muniz
286,Charlotte Express,AUDL 2015,Nordeg J,Jeff Nordgren
287,Charlotte Express,AUDL 2016,Nordgr J,Jeff Nordgren
288,Charlotte Express,AUDL 2015,Olson E,Eric Olson
289,Charlotte Express,AUDL 2016,Olson E,Eric Olson
290,Charlotte Express,AUDL 2016,Polk J,Jakeem Polk
291,Charlotte Express,AUDL 2015,Porter K,Ken Porter
292,Charlotte Express,AUDL 2016,Porter K,Ken Porter
293,Charlotte Express,AUDL 2015,Russel A,Adam Russell
294,Charlotte Express,AUDL 2016,Ryan A,Andrew Ryan
295,Charlotte Express,AUDL 2015,Saffa Z,Zach Saffa
296,Charlotte Express,AUDL 2015,Schanz R,Ryan Schanz
297,Charlotte Express,AUDL 2015,Schopl D,Dan Schopler
298,Charlotte Express,AUDL 2015,Silva K,Kyle Silva
299,Charlotte Express,AUDL 2016,Silva K,Kyle Silva
300,Charlotte Express,AUDL 2015,Sisco S,Shane Sisco
301,Charlotte Express,AUDL 2016,Sisco S,Shane Sisco
302,Charlotte Express,AUDL 2015,Stone J,Jon Stone
303,Charlotte Express,AUDL 2016,Stone J,Jon Stone
304,Charlotte Express,AUDL 2015,Stukes M,Mick Stukes
305,Charlotte Express,AUDL 2016,Vickro A,Alex Vickroy
306,Charlotte Express,AUDL 2016,Weeks P,Paul Weeks
307,Charlotte Express,AUDL 2015,Welchm D,Dylan Welchman
308,Charlotte Express,AUDL 2016,Welchm D,Dylan Welchman
309,Charlotte Express,AUDL 2016,Werkme R,Ryan Werkmeister
310,Charlotte Express,AUDL 2015,Whitti G,Graham Whittington
311,Chicago Wildfire,AUDL 2015,AJ,AJ Nelson
312,Chicago Wildfire,AUDL 2016,AJ,AJ Nelson
313,Chicago Wildfire,AUDL 2015,Adrian,Adrian King
314,Chicago Wildfire,AUDL 2016,Adrian,Adrian King
315,Chicago Wildfire,AUDL 2014,Aj Nelso,AJ Nelson
316,Chicago Wildfire,AUDL 2014,Alex D-W,Alex Drlica-Wagner
317,Chicago Wildfire,AUDL 2014,Andy N,Andy Nielsen
318,Chicago Wildfire,AUDL 2018,Bill,Bill Kluender
319,Chicago Wildfire,AUDL 2015,Bob,Bob Liu
320,Chicago Wildfire,AUDL 2014,Bob L,Bob Liu
321,Chicago Wildfire,AUDL 2014,Brett K,Brett Kolinek
322,Chicago Wildfire,AUDL 2015,Brodie,Brodie Smith
323,Chicago Wildfire,AUDL 2014,Brodie S,Brodie Smith
324,Chicago Wildfire,AUDL 2018,Bruno,
325,Chicago Wildfire,AUDL 2018,CJ,CJ O'Brien
326,Chicago Wildfire,AUDL 2014,Casey D,Casey Degnan
327,Chicago Wildfire,AUDL 2016,Champe,Alex Champe
328,Chicago Wildfire,AUDL 2017,Champe,Alex Champe
329,Chicago Wildfire,AUDL 2018,Chowder,
330,Chicago Wildfire,AUDL 2014,Chris V,Chris Vandervoort
331,Chicago Wildfire,AUDL 2015,Cullen,Cullen Geppert
332,Chicago Wildfire,AUDL 2014,Cullen G,Cullen Geppert
333,Chicago Wildfire,AUDL 2015,DW,
334,Chicago Wildfire,AUDL 2016,DW,David Woods
335,Chicago Wildfire,AUDL 2014,Dan W,Dan Williams
336,Chicago Wildfire,AUDL 2014,Dane O,Dane Olsen
337,Chicago Wildfire,AUDL 2015,Danny,Dan Miller
338,Chicago Wildfire,AUDL 2018,Danny,Dan Miller
339,Chicago Wildfire,AUDL 2018,Dave,David Woods
340,Chicago Wildfire,AUDL 2018,Drew,Drew Levorsen
341,Chicago Wildfire,AUDL 2016,Egan,Michael Egan
342,Chicago Wildfire,AUDL 2017,Egan,Michael Egan
343,Chicago Wildfire,AUDL 2015,Fergus,Tim Fergus
