,Teamname,Name
56,Los Angeles Aviators,Nate Ransom
57,Los Angeles Aviators,Sam Plasman
58,Los Angeles Aviators,Collin Gall
59,Los Angeles Aviators,Nate Kirchhofer
60,Los Angeles Aviators,Eric Lissner
61,Los Angeles Aviators,Wayne Lu
62,Los Angeles Aviators,Tyler Bacon
63,Los Angeles Aviators,Garrett Santi
64,Los Angeles Aviators,Calvin Brown
65,Chicago Wildfire,Jesse Johnson
66,Chicago Wildfire,Kurt Gibson
67,Chicago Wildfire,Michael Egan
68,Chicago Wildfire,Seth Weaver
69,Chicago Wildfire,Brad Bolliger
70,Chicago Wildfire,Matthew Rehder
71,Chicago Wildfire,David Woods
72,Chicago Wildfire,Jesse White
73,Chicago Wildfire,Jeff Weis
74,Chicago Wildfire,Von Alanguilan
75,Chicago Wildfire,Nate Goff
76,Chicago Wildfire,Jeremy Burril
77,Chicago Wildfire,Judah Newman
78,Chicago Wildfire,Drew Swanson
79,Chicago Wildfire,Tommy Gallagher
80,Chicago Wildfire,Jack Shanahan
81,Chicago Wildfire,Joey Kennedy
82,Chicago Wildfire,Nick Zeman
83,Chicago Wildfire,Cal Tornabene
84,Chicago Wildfire,David Meinecke
85,Chicago Wildfire,Alex Rummelhart
86,Chicago Wildfire,Michael Pardo
87,Chicago Wildfire,Ross Barker
88,Chicago Wildfire,Zane Rankin
89,Chicago Wildfire,Karl Kingma
90,Chicago Wildfire,Dan Miller
91,Chicago Wildfire,Tim Fergus
92,Chicago Wildfire,James Sykora
93,Chicago Wildfire,Brenton Hard
94,Chicago Wildfire,Pawel Janas
95,Chicago Wildfire,Jason Vallee
96,Chicago Wildfire,Zubair Abdulla
97,Chicago Wildfire,CJ O'Brien
98,Chicago Wildfire,Charlie Furse
99,San Diego Growlers,Jonathan Helton
100,San Diego Growlers,Nathan Bridges
101,San Diego Growlers,Sean Ham
102,San Diego Growlers,Scott Radlauer
103,San Diego Growlers,Bryce Lozinski
104,San Diego Growlers,Andrew Kohl
105,San Diego Growlers,Josh Kohl
106,San Diego Growlers,Maxwell Hume
107,San Diego Growlers,Steven Milardovich
108,San Diego Growlers,Reggie Sung
109,San Diego Growlers,Dominic Leggio
110,San Diego Growlers,Will Turner
111,San Diego Growlers,Joey Huppert
112,San Diego Growlers,Michael Dehnbostel
113,San Diego Growlers,Kyle Rubin
114,San Diego Growlers,Marcel Osborne
115,San Diego Growlers,Michael Tran
116,San Diego Growlers,Wes Groth
117,San Diego Growlers,Dave Ritchie
118,San Diego Growlers,Eric Hytönen
119,San Diego Growlers,Jake Gutkowski
120,San Diego Growlers,Bailey Wu
121,San Diego Growlers,Aidan Hall
122,San Diego Growlers,Ryan Lacy
123,San Diego Growlers,Mark Slader
124,San Diego Growlers,Tim Okita
125,San Diego Growlers,Trevor Purdy
126,San Diego Growlers,Travis Dunn
127,San Diego Growlers,Kyle Smith
128,San Diego Growlers,Jesse Cohen
129,San Diego Growlers,Sam Fontaine
130,San Diego Growlers,Ryo Senda
131,Detroit Mechanix,Stephen Becker
132,Detroit Mechanix,Joseph Cubitt
133,Detroit Mechanix,Austin Riegel
134,Detroit Mechanix,Josh Beaulieu
135,Detroit Mechanix,James Baker Jr
136,Detroit Mechanix,Alex Bertoia
137,Detroit Mechanix,Wasdi Grimaldo
138,Detroit Mechanix,Karl Fauerbach
139,Detroit Mechanix,Christopher Sackmann
140,Detroit Mechanix,Mitchell DeNooyer
141,Detroit Mechanix,Andrew Everts
142,Detroit Mechanix,Joe Rogers
143,Detroit Mechanix,Kevin Anthony
144,Detroit Mechanix,Kevin Nicholl
145,Detroit Mechanix,Jordan Kinde
146,Detroit Mechanix,Mark Whitton
147,Detroit Mechanix,Austin Johnson
148,Detroit Mechanix,Troy Roberts
149,Montreal Royal,Vincent Gamache
150,Montreal Royal,Philippe Bisson
151,Montreal Royal,Vincent Lemieux
152,Montreal Royal,Stève Bonneau
153,Montreal Royal,Nabil Chaouch
154,Montreal Royal,Jacob Saunders
155,Montreal Royal,André Arsenault
156,Montreal Royal,Jordan Faries
157,Montreal Royal,Gabriel Monfette
158,Montreal Royal,Christophe Tremblay-Joncas
159,Montreal Royal,Mathieu Bosser
160,Montreal Royal,Quentin Roger
161,Montreal Royal,Miguel Goderre
162,Montreal Royal,Sacha Poitte-Sokolsky
163,Montreal Royal,Eliott Heloir
164,Montreal Royal,Brian Howard
165,Montreal Royal,Henry Rodriguez
166,Montreal Royal,Quentin Bonnaud
167,Montreal Royal,Mohamed Chrouh
168,Montreal Royal,Dylan Lacombe-Burgoyne
169,Montreal Royal,Simon Charette
170,Montreal Royal,Laurent Faye
171,Montreal Royal,Malik Auger-Semmar
172,Montreal Royal,Kevin Groulx
173,Montreal Royal,Kevin Quinlan
174,Montreal Royal,Basile Limoges
175,Montreal Royal,Jakob Brissette
176,Montreal Royal,Estéban Ceballos
177,Montreal Royal,Zakarie Massi
178,Austin Sol,Mitchell Bennett
179,Austin Sol,John Cecil
180,Austin Sol,Matt Bennett
181,Austin Sol,Michael Matthis
182,Austin Sol,Reese Bowman
183,Austin Sol,Jeff Loskorn
184,Austin Sol,Eric Brodbeck
185,Austin Sol,Jason Holleran
186,Austin Sol,Matthew Bierschenk
187,Austin Sol,Joshua Zdrodowski
188,Austin Sol,Corey Mika
189,Austin Sol,Jimmy Zuraw
190,Austin Sol,Andrew Walch
191,Austin Sol,Carter Hollo
192,Austin Sol,Jerrod Wolfe
193,Austin Sol,Mason Wuensch
194,Austin Sol,Derek Fan
195,Austin Sol,Mutahir Ahmad
196,Austin Sol,Ethan Pollack
197,Austin Sol,Chase Cunningham
198,Austin Sol,Elliott Moore
199,Austin Sol,Keivaun Waugh
200,Austin Sol,Kyle Henke
201,Austin Sol,Rory Orloff
202,Austin Sol,Brian Gfroerer
203,Austin Sol,Mick Walter
204,Austin Sol,Brandon Dial
205,Austin Sol,Mike Cramer
206,Austin Sol,Austin Walker
207,Austin Sol,Zachary Cotter
208,Austin Sol,Paul Starkel
209,Austin Sol,Ryan Purcell
210,Austin Sol,Doug Richardson
211,Austin Sol,Robert Lewis
212,Pittsburgh Thunderbirds,Max Sheppard
213,Pittsburgh Thunderbirds,Jonathan Mast
