,Teamname,Name,FirstName,LastName
156,DC Breeze,Nathan Prior,Nathan,Prior
157,DC Breeze,Jeff Wodatch,Jeff,Wodatch
158,DC Breeze,Jay Boyle,Jay,Boyle
159,DC Breeze,Kevin Versteeg,Kevin,Versteeg
160,DC Breeze,Ray Mendoza,Ray,Mendoza
161,DC Breeze,Leo Pierson,Leo,Pierson
162,DC Breeze,Xavier Maxstadt,Xavier,Maxstadt
163,Detroit Mechanix,Stephen Becker,Stephen,Becker
164,Detroit Mechanix,Joseph Cubitt,Joseph,Cubitt
165,Detroit Mechanix,Austin Riegel,Austin,Riegel
166,Detroit Mechanix,Josh Beaulieu,Josh,Beaulieu
167,Detroit Mechanix,James Baker Jr,James,Baker Jr
168,Detroit Mechanix,Alex Bertoia,Alex,Bertoia
169,Detroit Mechanix,Wasdi Grimaldo,Wasdi,Grimaldo
170,Detroit Mechanix,Karl Fauerbach,Karl,Fauerbach
171,Detroit Mechanix,Christopher Sackmann,Christopher,Sackmann
172,Detroit Mechanix,Mitchell DeNooyer,Mitchell,DeNooyer
173,Detroit Mechanix,Andrew Everts,Andrew,Everts
174,Detroit Mechanix,Joe Rogers,Joe,Rogers
175,Detroit Mechanix,Kevin Anthony,Kevin,Anthony
176,Detroit Mechanix,Kevin Nicholl,Kevin,Nicholl
177,Detroit Mechanix,Jordan Kinde,Jordan,Kinde
178,Detroit Mechanix,Mark Whitton,Mark,Whitton
179,Detroit Mechanix,Austin Johnson,Austin,Johnson
180,Detroit Mechanix,Troy Roberts,Troy,Roberts
181,Indianapolis AlleyCats,Alex Henderson,Alex,Henderson
182,Indianapolis AlleyCats,Jesse Jenkins,Jesse,Jenkins
183,Indianapolis AlleyCats,Keenan Plew,Keenan,Plew
184,Indianapolis AlleyCats,Rick Gross,Rick,Gross
185,Indianapolis AlleyCats,Cameron Brock,Cameron,Brock
186,Indianapolis AlleyCats,Joey Cari,Joey,Cari
187,Indianapolis AlleyCats,Levi Jacobs,Levi,Jacobs
188,Indianapolis AlleyCats,David Hortemiller,David,Hortemiller
189,Indianapolis AlleyCats,Colton Steiner,Colton,Steiner
190,Indianapolis AlleyCats,Colin Ringwood,Colin,Ringwood
191,Indianapolis AlleyCats,Keegan North,Keegan,North
192,Indianapolis AlleyCats,Conner Henderson,Conner,Henderson
193,Indianapolis AlleyCats,Dustin Baird,Dustin,Baird
194,Indianapolis AlleyCats,Heath Kalaba,Heath,Kalaba
195,Indianapolis AlleyCats,AJ Humbert,AJ,Humbert
196,Indianapolis AlleyCats,Spencer Loscar,Spencer,Loscar
197,Indianapolis AlleyCats,Nick Hutton,Nick,Hutton
198,Indianapolis AlleyCats,Peter Carleton,Peter,Carleton
199,Indianapolis AlleyCats,Kyle Cox,Kyle,Cox
200,Indianapolis AlleyCats,Zach Zebarth,Zach,Zebarth
201,Indianapolis AlleyCats,Sam Ellison,Sam,Ellison
202,Indianapolis AlleyCats,Jeremy Keusch,Jeremy,Keusch
203,Indianapolis AlleyCats,Travis Carpenter,Travis,Carpenter
204,Indianapolis AlleyCats,Christopher Miller,Christopher,Miller
205,Indianapolis AlleyCats,Donovan Triplett,Donovan,Triplett
206,Indianapolis AlleyCats,Brett Matzuka,Brett,Matzuka
207,Indianapolis AlleyCats,Jacob Fella,Jacob,Fella
208,Indianapolis AlleyCats,John Jones,John,Jones
209,Indianapolis AlleyCats,Dustin Hughes,Dustin,Hughes
210,Los Angeles Aviators,Xavier Charles,Xavier,Charles
211,Los Angeles Aviators,Michael Kiyoi,Michael,Kiyoi
212,Los Angeles Aviators,Evan Valdes,Evan,Valdes
213,Los Angeles Aviators,Ryan Lepore,Ryan,Lepore
214,Los Angeles Aviators,Andrew Padula,Andrew,Padula
215,Los Angeles Aviators,Danny Landesman,Danny,Landesman
216,Los Angeles Aviators,Sean McDougall,Sean,McDougall
217,Los Angeles Aviators,Alex Drum,Alex,Drum
218,Los Angeles Aviators,Mitchell Steiner,Mitchell,Steiner
219,Los Angeles Aviators,Kyle Conniff,Kyle,Conniff
220,Los Angeles Aviators,Zach Theodore,Zach,Theodore
221,Los Angeles Aviators,KJ Koo,KJ,Koo
222,Los Angeles Aviators,Aaron Weaver,Aaron,Weaver
223,Los Angeles Aviators,Jeffrey Silverman,Jeffrey,Silverman
224,Los Angeles Aviators,Ryan Smith,Ryan,Smith
225,Los Angeles Aviators,Ian Ladner,Ian,Ladner
226,Los Angeles Aviators,Zac Schakner,Zac,Schakner
227,Los Angeles Aviators,Matt Theologidy,Matt,Theologidy
228,Los Angeles Aviators,Timothy Beatty,Timothy,Beatty
229,Los Angeles Aviators,Nate Ransom,Nate,Ransom
230,Los Angeles Aviators,Sam Plasman,Sam,Plasman
231,Los Angeles Aviators,Collin Gall,Collin,Gall
232,Los Angeles Aviators,Joc Jimenez,Joc,Jimenez
233,Los Angeles Aviators,Nate Kirchhofer,Nate,Kirchhofer
234,Los Angeles Aviators,Jake Baumer,Jake,Baumer
235,Los Angeles Aviators,Eric Lissner,Eric,Lissner
236,Los Angeles Aviators,Wayne Lu,Wayne,Lu
237,Los Angeles Aviators,Tyler Bacon,Tyler,Bacon
238,Los Angeles Aviators,Garrett Santi,Garrett,Santi
239,Los Angeles Aviators,Calvin Brown,Calvin,Brown
240,Madison Radicals,Adam Drews,Adam,Drews
241,Madison Radicals,Andrew Meshnick,Andrew,Meshnick
242,Madison Radicals,Seth Meyer,Seth,Meyer
243,Madison Radicals,Pat Shriwise,Pat,Shriwise
244,Madison Radicals,Sean Treacy,Sean,Treacy
245,Madison Radicals,Avery Johnson,Avery,Johnson
246,Madison Radicals,Tom Annen,Tom,Annen
247,Madison Radicals,Benjy Keren,Benjy,Keren
248,Madison Radicals,Joshua Wilson,Joshua,Wilson
249,Madison Radicals,Victor Luo,Victor,Luo
250,Madison Radicals,Andrew Brown,Andrew,Brown
