,Teamname,Name,FirstName,LastName
169,Detroit Mechanix,Justin Perticone,Justin,Perticone
170,Detroit Mechanix,Jeffery Schubert,Jeffery,Schubert
171,Detroit Mechanix,Ashton Hoffman,Ashton,Hoffman
172,Detroit Mechanix,Austin Riegel,Austin,Riegel
173,Detroit Mechanix,David Innis,David,Innis
174,Detroit Mechanix,Josh Beaulieu,Josh,Beaulieu
175,Detroit Mechanix,James Baker Jr,James,Baker Jr
176,Detroit Mechanix,Alex Bertoia,Alex,Bertoia
177,Detroit Mechanix,Wasdi Grimaldo,Wasdi,Grimaldo
178,Detroit Mechanix,Karl Fauerbach,Karl,Fauerbach
179,Detroit Mechanix,Mitchell DeNooyer,Mitchell,DeNooyer
180,Detroit Mechanix,Andrew Everts,Andrew,Everts
181,Detroit Mechanix,Joe Rogers,Joe,Rogers
182,Detroit Mechanix,Kevin Anthony,Kevin,Anthony
183,Detroit Mechanix,Kevin Nicholl,Kevin,Nicholl
184,Detroit Mechanix,Jordan Kinde,Jordan,Kinde
185,Detroit Mechanix,Mark Whitton,Mark,Whitton
186,Detroit Mechanix,Austin Johnson,Austin,Johnson
187,Detroit Mechanix,Troy Roberts,Troy,Roberts
188,Indianapolis AlleyCats,Jesse Jenkins,Jesse,Jenkins
189,Indianapolis AlleyCats,Alex Henderson,Alex,Henderson
190,Indianapolis AlleyCats,Keenan Plew,Keenan,Plew
191,Indianapolis AlleyCats,Rick Gross,Rick,Gross
192,Indianapolis AlleyCats,Cameron Brock,Cameron,Brock
193,Indianapolis AlleyCats,Joey Cari,Joey,Cari
194,Indianapolis AlleyCats,Levi Jacobs,Levi,Jacobs
195,Indianapolis AlleyCats,David Hortemiller,David,Hortemiller
196,Indianapolis AlleyCats,Nathan Bussberg,Nathan,Bussberg
197,Indianapolis AlleyCats,Colton Steiner,Colton,Steiner
198,Indianapolis AlleyCats,Colin Ringwood,Colin,Ringwood
199,Indianapolis AlleyCats,Keegan North,Keegan,North
200,Indianapolis AlleyCats,Conner Henderson,Conner,Henderson
201,Indianapolis AlleyCats,Dustin Baird,Dustin,Baird
202,Indianapolis AlleyCats,Heath Kalaba,Heath,Kalaba
203,Indianapolis AlleyCats,AJ Humbert,AJ,Humbert
204,Indianapolis AlleyCats,Spencer Loscar,Spencer,Loscar
205,Indianapolis AlleyCats,Nick Hutton,Nick,Hutton
206,Indianapolis AlleyCats,Peter Carleton,Peter,Carleton
207,Indianapolis AlleyCats,Kyle Cox,Kyle,Cox
208,Indianapolis AlleyCats,Zach Zebarth,Zach,Zebarth
209,Indianapolis AlleyCats,Sam Ellison,Sam,Ellison
210,Indianapolis AlleyCats,Jeremy Keusch,Jeremy,Keusch
211,Indianapolis AlleyCats,Travis Carpenter,Travis,Carpenter
