,Actives,Team,Week,Year
37,"Joshua Beaulieu; Alexander Bertoia; Kevin Coulter; Joseph Cubitt; Dex Dremann; Karl Fauerbach; Ed Fox; Wasdi Grimaldo B.; Tyler Hebert; Ashton Hoffman; David Innis; Jordan Kinde; Jonathan Lee; Kevin Nicholl; Neil Proefrock; Austin Riegel; Troy Roberts; Jeffery Schubert; Sam Sincere; Andrew Sjogren; Inactive: Mark Whitton, Joe Rogers",Detroit Mechanix,4,2019
38,"Cameron Brock; Nathan Bussberg; Travis Carpenter; Kyle Cox; Terry Gaither; Rick Gross; Nathan Hershberger; Dusty Hughes; Nick Hutton; Levi Jacobs; Jesse Jenkins; John Jones; Spencer Loscar; Brett Matzuka; Keegan North; Shawn Owen; Keenan Plew; Colin Ringwood; Colton Steiner; Donovan Triplett; Inactive: Alex Henderson, David Hortemiller",Indianapolis AlleyCats,4,2019
39,"Tyler Bacon; Kyle Conniff; Alex Drum; Joc Jimenez; Nate Kirchoffer; Michael Kiyoi; Danny Landesman; Crash Lepore; Wayne Lu; Sean McDougall; Andrew Padula; Sam Plasman; Nate Ransom; Garrett Santi; Zac Schakner; Jeff Silverman; Ryan Smith; Mitchell Steiner; Zach Theodore; Aaron Weaver; Inactive: Tim Beatty, Ian Ladner",Los Angeles Aviators,4,2019
40,"Daniel Bates; Cameron Burden; Saurav Dubey; Jesse Greenberg; Tate Halberg; Kristian Johnson**; Michael Jordan; James Kittlesen; Josh Klane; Mathew Ladyman; Isaac Leonard; Brandon Matis; Mitchell McCarthy; Drew Otterlei; Grayson Pangburn; Ethan Rasmussen; Quinn Snider; Jordan Taylor; Bryan Vohnoutka; Ryan Welch; Inactive: Brendan McCann, Alan Scarth",Minnesota Wind Chill,4,2019
41,André Arsenault; Malik Auger-Semmar; Philippe Bisson; Quentin Bonnaud; Stève Bonneau; Mathieu Bosser; Jakob Brissette; Estéban Ceballos; Simon Charette; Laurent Faye; Vincent Gamache; Miguel Goderre; Kevin Groulx; Vincent Lemieux; Gabriel Monfette; Sacha Poitte- Sokolsky ; Kevin Quinlan; Quentin Roger; Jacob Saunders; Christophe Tremblay Joncas,Montreal Royal,4,2019
42,Albert Alarcon; Josue Alorro**; Matthew Auletta; Jeff Babbitt; Ryan Brown; Marques Brownlee; Mike Drost; Ryan Drost; Harper Garvey; Ben Jagt; Ben Katz; Beau Kittredge; Conor Kline; Matthew Lemar; Grant Lindsley; Jibran Mieser; TJ Stanton**; Matthew Stevens; Matthew Weintraub; Jack Williams,New York Empire,4,2019
43,Derek Alexander; Ken Alexander**; Alec Arsenault; Geoff Bevan; Nick Boucher; Kyle Cantal; David Colic; Greg Ellis; Jon Hallett; Jeremy Hill**; Jeff Lindquist; Karl Loiseau; Paul Mensah; Matt O'Brien; Adam O'Donnell; Andrew Ouchterlony; Erich Phang-Lyn; Paul Renaud; Braedan Robinson; Carson Turner,Ottawa Outlaws,4,2019
44,"Shashank Alladi; Mike Arcata; Matt Ballman; Peter Burt; Dustin Damiano; Patrick Diviney; Brice Dunn; Matt Esser; Ethan Fortin; Evan Karson; Colin Masino; Himalaya Mehta; Sean Mott; Eric Nardelli; Nick Patel; Ethan Peck; Zac Sands; Billy Sickles; Ryan Weaver; Scott Xu; Inactive: Dave Baer, Marc Sands, Trey Katzenbach",Philadelphia Phoenix,4,2019
45,"John Buss; Marquis Cofer; Marquis Cofer; Mark Fedorenko**; Kenny Furdella; Nick Gigliotti; Chris Graber; Robert Halvorsen; Jack Hefferon; Justin Kinkead; Jon Mast; Dayne Meyer; Steve Mogielski; Anson Reppermund; Max Sheppard; Alex Thomas; Jimmy Towle; Sam VanDusen; David Vatz; Owen Watt; Inactive: Dylan Best, Thomas Edmonds",Pittsburgh Thunderbirds,4,2019
46,"Tanner Barcus; Chuck Cantone; Andrew Cohen; Joey Cretella; Kamron Daftari; Jacob Fairfax; Henry Fisher; Sam Gabrielson; Josh Hartzog; Terrence Mitchell; Charlie Muniz ; Jeff Nordgren; Jordan Perry; Jakeem Polk; David Richardson; Grayson Sanner; Vikram Sethuraman; Shane Sisco; Eric Taylor; Sol Yanuck; Inactive: Noah Saul, Allen Laviolette",Raleigh Flyers,4,2019
47,"Hall Aidan; Ritchie David; Helton Jonathan; Rubin Kyle; Slader Mark; Leggio Mark (Dom); Hume Maxwell; Tran Michael; Dehnbostel Mike ; Bridges Nathan; Sung Reggie; Senda Ryo; Fontaine Sam; Radlauer Scott; Milardovich Steven; Okita Tim; Dunn Travis; Purdy Trevor; Groth Wesley; Turner William; Inactive: Sean Ham, Marcel Osborne",San Diego Growlers,4,2019
48,"Jesse Bolton**; Jay Boychuk; Dennis Casio; William Coffin; Alex Duffel; Khalif El-Salaam; Bryson Fox; Xtehn Frame; Peter Geertz-Larson; Brad Houser; Wally Kasprzycki; Thomas Lassetter; Nick Mahan; Charlie Mercer; Marc Munoz; Henry Phan; June Rapisura; Ryan Segal; Kodi Smart; Shane Worthington; Inactive: Mark Burton, Zach Sabin, Steph Lim",Seattle Cascades,4,2019
49,"Connor Armstrong; Andrew Carroll; Scott Graham; Cameron Harris; Jacky Hau; Nathan Hirst; Jason Huynh; Jason Lam; Iain Mackenzie; Isaiah Masek-Kelly; Thomson McKnight; Jerry Meron**; Akifumi Muraoka; Jeremy Norden; Remi Ojo; Geoff Powell; Ben Pries**; Bretton Tan; Phil Turner; Marijo Zlatic; Inactive: Adrian Yearwood, Mike Mackenzie",Toronto Rush,4,2019
50,"Hayden Austin-Knabb; Zack Avello; Hulsmeyer Brett; Phil Dougherty; Karl Ekwurtzel; Christian Gaeta; Elijah Jaime; Matthew Knowles; Will Lindquist; Mac McClellan; Christian Olsen; Javier Ortiz; Player Pierce; Carter Rae; Matt Smith; Coleman Tappero; Austin Taylor; Alex Trautman; Josh Turner; Kelvin Williams; Inactive: Trenton Spinks, Sun Choi",Atlanta Hustle,5,2019
51,Matthew Bennett; Reese Bowman; John Cecil; Michael Cramer; Brian Gfroerer; Kyle Henke; Jason Holleran; Carter  Hollo; Robert Lewis; Michael Matthis; Elliott Moore; Rory Orloff; Ethan Pollack; Ryan Purcell; Doug Richardson; Andrew Walch; John Walter; Keivaun Waugh; Mason Wuensch; Joshua Zdrodowski; Inactive: Chase Cunningham,Austin Sol,5,2019
52,Von Alanguilan; Ross Barker; Tim Fergus; Charlie Furse; Tommy Gallagher; Pawel Janas; David Meinecke; Danny Miller; Michael Pardo; Matt Rehder; Alex Rummelhart; Jack Shanahan; Drew Swanson**; Jimmy Sykora; Cal Tornabene; Jason Vallee; Seth Weaver; Jeff Weis; Jesse White; Nick Zeman; Inactive: Michael Egan,Chicago Wildfire,5,2019
53,Quinn Bergeron; David Bloodgood; Garrett Braun; Max Cassell; Matt Cullom; Cody Johnston; Peter Mancini; Xavier Maxstadt; Matthew McDonnell; Anthony McLean; Ray Mendoza; Zach Norrbom; Houston Parks; Leo Pierson; Nathan Prior; Joe Richards; David Shields; Kevin Versteeg; Dane Warner; Jeff Wodatch; Inactive: AJ Merriman,DC Breeze,5,2019
54,Jimmy Baker Jr; Alexander Bertoia; Joey Cari; Ben Cheer; Kevin Coulter; Joe Cubitt; Karl Fauerbach; Ashton Hoffman; David Innis; Austin Johnson; Jordan Kinde; Josh Osinski; Justin Perticone; Tyler Postema; Austin Riegel; Joe Rogers; Jeff Schubert; Sam Sincere; Andrew Sjogren; Mark Whitton,Detroit Mechanix,5,2019
55,"Cameron Brock; Peter Carleton; Travis Carpenter; Sam Ellison; Jacob Fella; Rick Gross; Alex Henderson; Conner Henderson; David Hortemiller; Nick Hutton; Levi Jacobs; John Jones; Jeremy Keusch; Spencer Loscar; Brett Matzuka; Keegan North; Keenan Plew; Colin Ringwood; Donovan Triplett; Aaron Weaver; Inactive: Kyle Cox, Zach Zebarth",Indianapolis Alleycats,5,2019
56,Tyler Bacon; Tim Beatty; Xavier Charles; Kyle  Conniff; Alex Drum; Collin Gall; Joc Jimenez; Nate Kirchoffer; Danny Landesman; Eric Lissner; Sean McDougall; Andrew Padula; Nate Ransom; Garrett Santi; Jeff Silverman; Ryan Smith; Mitchell Steiner; Zachary Theodore; Matt  Theologidy; Aaron Weaver; Inactive: Zac Schakner,Los Angeles Aviators,5,2019
