player,team,year,honor,,,
David Brandolph,Philadelphia Phoenix,2013,All-AUDL 1st Team,,,
Chris Powers,Cincinnati Revolution,2013,All-AUDL 1st Team,,,
Matt Esser,Philadelphia Phoenix,2013,All-AUDL 1st Team,,,
Keenan Plew,Indianapolis AlleyCats,2013,All-AUDL 1st Team,,,
AJ Nelson,Chicago Wildfire,2013,All-AUDL 1st Team,,,
Mark Lloyd,Toronto Rush,2013,All-AUDL 1st Team,,,
Andrew Brown,Madison Radicals,2013,All-AUDL 2nd Team,,,
Thomson McKnight,Toronto Rush,2013,All-AUDL 2nd Team,,,
Daniel Selwyn,DC Breeze,2013,All-AUDL 2nd Team,,,
Cameron Brock,Indianapolis AlleyCats,2013,All-AUDL 2nd Team,,,
Jeff Lindquist,Toronto Rush,2013,All-AUDL 2nd Team,,,
Pat Shriwise,Madison Radicals,2013,All-AUDL 2nd Team,,,
Dave Wiseman,Madison Radicals,2013,All-AUDL 2nd Team,,,
Evan Boucher,Cincinnati Bluegrass,2012,All-AUDL 1st Team,,,
Cameron Brock,Indianapolis AlleyCats,2012,All-AUDL 1st Team,,,
Rob Dulabon,Buffalo Hunters,2012,All-AUDL 1st Team,,,
Dave Hochholter,Detroit Mechanix,2012,All-AUDL 1st Team,,,
John Korber,Connecticut Constitution,2012,All-AUDL 1st Team,,,
Jake Rainwater,Philadelphia Phoenix,2012,All-AUDL 1st Team,,,
Goose Helton,Indianapolis AlleyCats,2012,All-AUDL 1st Team,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
