,Teamname,Name,FirstName,LastName
199,Detroit Mechanix,Ben Cheer,Ben,Cheer
200,Detroit Mechanix,Kevin Nicholl,Kevin,Nicholl
201,Detroit Mechanix,Kevin Coulter,Kevin,Coulter
202,Detroit Mechanix,Ed Fox,Ed,Fox
203,Detroit Mechanix,Jordan Kinde,Jordan,Kinde
204,Detroit Mechanix,Mark Whitton,Mark,Whitton
205,Detroit Mechanix,Austin Johnson,Austin,Johnson
206,Detroit Mechanix,Troy Roberts,Troy,Roberts
207,Detroit Mechanix,Andrew Sjogren,Andrew,Sjogren
208,Indianapolis AlleyCats,Jesse Jenkins,Jesse,Jenkins
209,Indianapolis AlleyCats,Alex Henderson,Alex,Henderson
210,Indianapolis AlleyCats,Keenan Plew,Keenan,Plew
211,Indianapolis AlleyCats,Rick Gross,Rick,Gross
212,Indianapolis AlleyCats,Cameron Brock,Cameron,Brock
213,Indianapolis AlleyCats,Joey Cari,Joey,Cari
214,Indianapolis AlleyCats,Levi Jacobs,Levi,Jacobs
215,Indianapolis AlleyCats,David Hortemiller,David,Hortemiller
216,Indianapolis AlleyCats,Nathan Bussberg,Nathan,Bussberg
217,Indianapolis AlleyCats,Colton Steiner,Colton,Steiner
218,Indianapolis AlleyCats,Colin Ringwood,Colin,Ringwood
219,Indianapolis AlleyCats,Keegan North,Keegan,North
220,Indianapolis AlleyCats,Conner Henderson,Conner,Henderson
221,Indianapolis AlleyCats,Dustin Baird,Dustin,Baird
222,Indianapolis AlleyCats,Heath Kalaba,Heath,Kalaba
223,Indianapolis AlleyCats,AJ Humbert,AJ,Humbert
224,Indianapolis AlleyCats,Spencer Loscar,Spencer,Loscar
225,Indianapolis AlleyCats,Nick Hutton,Nick,Hutton
226,Indianapolis AlleyCats,Peter Carleton,Peter,Carleton
227,Indianapolis AlleyCats,Kyle Cox,Kyle,Cox
228,Indianapolis AlleyCats,Zach Zebarth,Zach,Zebarth
229,Indianapolis AlleyCats,Sam Ellison,Sam,Ellison
230,Indianapolis AlleyCats,Jeremy Keusch,Jeremy,Keusch
231,Indianapolis AlleyCats,Aaron Weaver,Aaron,Weaver
232,Indianapolis AlleyCats,Travis Carpenter,Travis,Carpenter
233,Indianapolis AlleyCats,Christopher Miller,Christopher,Miller
234,Indianapolis AlleyCats,Donovan Triplett,Donovan,Triplett
235,Indianapolis AlleyCats,Brett Matzuka,Brett,Matzuka
236,Indianapolis AlleyCats,Jacob Fella,Jacob,Fella
237,Indianapolis AlleyCats,John Jones,John,Jones
238,Indianapolis AlleyCats,Dustin Hughes,Dustin,Hughes
239,Los Angeles Aviators,Xavier Charles,Xavier,Charles
240,Los Angeles Aviators,Michael Kiyoi,Michael,Kiyoi
241,Los Angeles Aviators,Evan Valdes,Evan,Valdes
242,Los Angeles Aviators,Ryan Lepore,Ryan,Lepore
243,Los Angeles Aviators,Andrew Padula,Andrew,Padula
244,Los Angeles Aviators,Danny Landesman,Danny,Landesman
245,Los Angeles Aviators,Sean McDougall,Sean,McDougall
246,Los Angeles Aviators,Alex Drum,Alex,Drum
247,Los Angeles Aviators,Mitchell Steiner,Mitchell,Steiner
248,Los Angeles Aviators,Kyle Conniff,Kyle,Conniff
249,Los Angeles Aviators,Zach Theodore,Zach,Theodore
250,Los Angeles Aviators,KJ Koo,KJ,Koo
251,Los Angeles Aviators,Aaron Weaver,Aaron,Weaver
252,Los Angeles Aviators,Jeffrey Silverman,Jeffrey,Silverman
253,Los Angeles Aviators,Ryan Smith,Ryan,Smith
254,Los Angeles Aviators,Ian Ladner,Ian,Ladner
255,Los Angeles Aviators,Zac Schakner,Zac,Schakner
256,Los Angeles Aviators,Matt Theologidy,Matt,Theologidy
257,Los Angeles Aviators,Timothy Beatty,Timothy,Beatty
258,Los Angeles Aviators,Nate Ransom,Nate,Ransom
259,Los Angeles Aviators,Sam Plasman,Sam,Plasman
260,Los Angeles Aviators,Collin Gall,Collin,Gall
261,Los Angeles Aviators,Thomas Anderson,Thomas,Anderson
262,Los Angeles Aviators,Jacob Bartholomew,Jacob,Bartholomew
263,Los Angeles Aviators,Nate Kirchhofer,Nate,Kirchhofer
264,Los Angeles Aviators,Jake Baumer,Jake,Baumer
265,Los Angeles Aviators,Eric Lissner,Eric,Lissner
266,Los Angeles Aviators,Wayne Lu,Wayne,Lu
267,Los Angeles Aviators,Tyler Bacon,Tyler,Bacon
268,Los Angeles Aviators,Joc Jimenez,Joc,Jimenez
269,Los Angeles Aviators,Garrett Santi,Garrett,Santi
270,Los Angeles Aviators,Calvin Brown,Calvin,Brown
271,Madison Radicals,Adam Drews,Adam,Drews
272,Madison Radicals,Andrew Meshnick,Andrew,Meshnick
273,Madison Radicals,Seth Meyer,Seth,Meyer
274,Madison Radicals,Pat Shriwise,Pat,Shriwise
275,Madison Radicals,Sean Treacy,Sean,Treacy
276,Madison Radicals,Avery Johnson,Avery,Johnson
277,Madison Radicals,Tom Annen,Tom,Annen
278,Madison Radicals,Benjy Keren,Benjy,Keren
279,Madison Radicals,Joshua Wilson,Joshua,Wilson
280,Madison Radicals,Victor Luo,Victor,Luo
281,Madison Radicals,Andrew Brown,Andrew,Brown
282,Madison Radicals,Brett Robinson,Brett,Robinson
283,Madison Radicals,David Nester,David,Nester
284,Madison Radicals,Logan Pruess,Logan,Pruess
285,Madison Radicals,Chris Wilen,Chris,Wilen
286,Madison Radicals,Nate Bosscher,Nate,Bosscher
287,Madison Radicals,Sterling Knoche,Sterling,Knoche
288,Madison Radicals,Glenn Poole,Glenn,Poole
289,Madison Radicals,Dave Wiseman,Dave,Wiseman
290,Madison Radicals,Rami Paust,Rami,Paust
291,Madison Radicals,Kyle Weigand,Kyle,Weigand
292,Madison Radicals,Ryan Tucker,Ryan,Tucker
293,Madison Radicals,Peter Graffy,Peter,Graffy
294,Madison Radicals,Colin Camp,Colin,Camp
295,Madison Radicals,Jeff Maskalunas,Jeff,Maskalunas
296,Madison Radicals,Chase Marty,Chase,Marty
297,Madison Radicals,Mike Kobyra,Mike,Kobyra
298,Madison Radicals,Thomas Coolidge,Thomas,Coolidge
299,Madison Radicals,Tarik Akyuz,Tarik,Akyuz
300,Madison Radicals,Ted Schewe,Ted,Schewe
301,Madison Radicals,Ben Nelson,Ben,Nelson
302,Madison Radicals,Dylan Power,Dylan,Power
303,Madison Radicals,Luke Marks,Luke,Marks
304,Madison Radicals,Colin Grandon,Colin,Grandon
305,Madison Radicals,Jack Kelly,Jack,Kelly
306,Madison Radicals,Kevin Pettit-Scantling,Kevin,Pettit-Scantling
307,Madison Radicals,Dan Vockeroth,Dan,Vockeroth
308,Madison Radicals,Kyle Dreger,Kyle,Dreger
309,Madison Radicals,Kevin Brown,Kevin,Brown
310,Minnesota Wind Chill,Zac Merie,Zac,Merie
311,Minnesota Wind Chill,Alex Jirele,Alex,Jirele
312,Minnesota Wind Chill,Bryan Vohnoutka,Bryan,Vohnoutka
313,Minnesota Wind Chill,Jesse Greenberg,Jesse,Greenberg
314,Minnesota Wind Chill,Mathew Ladyman,Mathew,Ladyman
315,Minnesota Wind Chill,Cole Jurek,Cole,Jurek
316,Minnesota Wind Chill,Tyler Thomegreene,Tyler,Thomegreene
317,Minnesota Wind Chill,Josh Poterack,Josh,Poterack
318,Minnesota Wind Chill,Tony Poletto,Tony,Poletto
319,Minnesota Wind Chill,Jordan Taylor,Jordan,Taylor
320,Minnesota Wind Chill,Grayson Pangburn,Grayson,Pangburn
321,Minnesota Wind Chill,Brendan McCann,Brendan,McCann
322,Minnesota Wind Chill,Mitchell McCarthy,Mitchell,McCarthy
323,Minnesota Wind Chill,Kristian Johnson,Kristian,Johnson
324,Minnesota Wind Chill,Scott Hearne,Scott,Hearne
325,Minnesota Wind Chill,Ethan Rasmussen,Ethan,Rasmussen
326,Minnesota Wind Chill,Ben Pavelka,Ben,Pavelka
327,Minnesota Wind Chill,Nicholas Dacquisto,Nicholas,Dacquisto
328,Minnesota Wind Chill,Thomas Echols,Thomas,Echols
329,Minnesota Wind Chill,Cam Burden,Cam,Burden
330,Minnesota Wind Chill,Michael Jordan,Michael,Jordan
331,Minnesota Wind Chill,Ryan Welch,Ryan,Welch
332,Minnesota Wind Chill,Daniel Bates,Daniel,Bates
333,Minnesota Wind Chill,Josh Klane,Josh,Klane
334,Minnesota Wind Chill,Saurov Dubey,Saurov,Dubey
335,Minnesota Wind Chill,Jimmy Kittlesen,Jimmy,Kittlesen
336,Minnesota Wind Chill,Alan Scarth,Alan,Scarth
337,Minnesota Wind Chill,Dylan DeClerck,Dylan,DeClerck
338,Minnesota Wind Chill,Brandon Matis,Brandon,Matis
339,Minnesota Wind Chill,Jason Tschida,Jason,Tschida
340,Minnesota Wind Chill,Drew Otterlei,Drew,Otterlei
341,Minnesota Wind Chill,Ben Feldman,Ben,Feldman
342,Minnesota Wind Chill,Cole Jensen,Cole,Jensen
343,Minnesota Wind Chill,Tate Halberg,Tate,Halberg
