year,team,Assists,Hockey Assists,Throws,Throwaways,Turnovers,Completions,Catches,Goals,Drops,Blocks,Stalls,Callahans,Callahans Thrown,O Points Played,O Possessions Played,D Points Played,D Possessions Played,Holds,Breaks,Games Played,Opponent Possessions Played (O-Line),Opponent Possessions Played (D-Line),O Points Lost,D Points Lost,Points Won,Points Played,Possessions Played,Completion Rate,Throwaway Rate,Assist Rate,Goal Rate,Hold Rate,Break Rate,Scoring Efficiency,O-line Scoring Efficiency,D-line Scoring Efficiency,O-line Takeaway Efficiency,D-line Takeaway Efficiency
2017,Pittsburgh Thunderbirds,370,332,4223,344,424,3808,3808,374,71,225,9,4,0,388,527,403,279,250,120,16,255,553,106,256,370,791,806,0.9017286289367749,0.08145867866445655,0.08761543926118873,0.09821428571428571,0.6443298969072165,0.2977667493796526,0.45905707196029777,0.47438330170777987,0.43010752688172044,0.584313725490196,0.5370705244122966
2017,Raleigh Flyers,387,352,4271,248,309,3970,3970,389,53,198,8,2,0,344,458,413,258,250,137,15,194,522,78,247,387,757,716,0.9295247014750644,0.0580660266916413,0.09061109810348865,0.09798488664987405,0.7267441860465116,0.33171912832929784,0.5405027932960894,0.5458515283842795,0.5310077519379846,0.5979381443298969,0.5268199233716475
2017,San Diego Growlers,318,304,4111,256,304,3809,3809,318,46,168,2,0,0,351,445,342,186,225,93,14,200,430,102,228,318,693,631,0.9265385550960836,0.06227195329603503,0.07735344198491852,0.08348647939091625,0.6410256410256411,0.2719298245614035,0.5039619651347068,0.5056179775280899,0.5,0.49,0.46976744186046515
2017,San Francisco FlameThrowers,474,407,4181,323,381,3805,3805,474,53,234,5,0,0,433,569,500,301,323,151,17,228,634,90,315,474,933,870,0.9100693613967951,0.07725424539583832,0.11337000717531691,0.12457293035479632,0.745958429561201,0.302,0.5448275862068965,0.5676625659050967,0.5016611295681063,0.6052631578947368,0.5031545741324921
2017,San Jose Spiders,370,351,4897,278,323,4577,4577,370,42,167,3,0,2,394,479,396,233,275,95,15,183,528,97,276,370,790,712,0.9346538697161527,0.0567694506840923,0.07555646314069839,0.08083897749617654,0.6979695431472082,0.2398989898989899,0.5196629213483146,0.5741127348643006,0.40772532188841204,0.4699453551912568,0.4772727272727273
2017,Seattle Cascades,346,320,3829,269,321,3512,3512,347,48,137,4,1,0,346,454,363,218,241,105,14,194,471,84,240,346,709,672,0.9172107599895534,0.07025332985113607,0.09036301906503004,0.09880410022779043,0.6965317919075145,0.2892561983471074,0.5148809523809523,0.5308370044052864,0.481651376146789,0.5670103092783505,0.49044585987261147
2017,Toronto Rush,445,404,4513,316,394,4128,4128,445,69,239,9,0,0,409,535,475,313,280,165,17,233,618,104,282,445,884,848,0.9146908929758476,0.070019942388655,0.09860403279415023,0.10780038759689922,0.684596577017115,0.3473684210526316,0.5247641509433962,0.5233644859813084,0.5271565495207667,0.5536480686695279,0.5436893203883495
2017,Vancouver Riptide,269,246,3529,336,422,3109,3109,269,84,189,2,0,0,371,524,293,170,210,59,14,297,399,140,215,269,664,694,0.8809861150467555,0.09521110796259563,0.07622555964862568,0.08652299774847218,0.5660377358490566,0.20136518771331058,0.38760806916426516,0.40076335877862596,0.34705882352941175,0.5286195286195285,0.46115288220551376
2018,Atlanta Hustle,315,295,3642,186,237,3412,3412,316,44,134,7,1,1,334,417,341,149,229,86,14,175,401,85,232,315,675,566,0.9368478857770456,0.051070840197693576,0.08649093904448106,0.09261430246189918,0.6856287425149701,0.25219941348973607,0.5565371024734982,0.5491606714628298,0.5771812080536913,0.5142857142857142,0.4214463840399002
2018,Austin Sol,316,279,3764,307,359,3408,3408,320,49,146,3,4,0,369,479,343,204,228,88,15,228,450,110,237,316,712,683,0.9054197662061636,0.08156216790648246,0.08395324123273114,0.09389671361502347,0.6178861788617886,0.2565597667638484,0.46266471449487556,0.4759916492693111,0.43137254901960786,0.5175438596491229,0.4733333333333334
2018,Chicago Wildfire,319,298,4083,235,299,3786,3786,319,62,144,2,0,0,328,430,346,196,227,92,14,184,443,74,235,319,674,626,0.9272593681116826,0.05755571883419055,0.07812882684300759,0.08425779186476492,0.6920731707317073,0.2658959537572254,0.5095846645367412,0.5279069767441861,0.46938775510204084,0.5978260869565217,0.46952595936794583
2018,DC Breeze,342,319,4493,292,351,4146,4146,343,55,193,4,1,0,347,474,368,231,233,109,15,228,481,92,232,342,715,705,0.9227687513910527,0.06498998442020922,0.07611840640997107,0.08273034249879402,0.6714697406340058,0.296195652173913,0.4851063829787234,0.49156118143459915,0.47186147186147187,0.5964912280701755,0.5176715176715176
2018,Dallas Roughnecks,408,369,5243,363,428,4824,4824,410,56,254,9,2,5,388,527,437,326,287,121,17,225,630,77,275,408,825,853,0.920083921419035,0.06923517070379553,0.07781804310509251,0.08499170812603649,0.7396907216494846,0.2768878718535469,0.4783118405627198,0.5445920303605313,0.37116564417177916,0.6577777777777778,0.5634920634920635
2018,Detroit Mechanix,224,192,3967,387,472,3502,3502,224,78,147,7,0,1,410,580,246,129,198,26,13,362,343,188,202,224,656,709,0.8827829594151752,0.09755482732543484,0.05646584320645324,0.06396344945745289,0.48292682926829267,0.10569105691056911,0.3159379407616361,0.3413793103448276,0.20155038759689922,0.48066298342541436,0.4110787172011662
2018,Indianapolis AlleyCats,384,343,4439,316,379,4061,4061,385,62,230,1,1,0,349,499,410,271,266,118,16,216,559,62,262,384,759,770,0.9148456859653075,0.07118720432529849,0.08650596981302094,0.09480423540999754,0.7621776504297995,0.28780487804878047,0.4987012987012987,0.533066132264529,0.4354243542435424,0.712962962962963,0.5313059033989267
2018,Los Angeles Aviators,402,366,4186,281,349,3838,3838,402,67,220,1,0,1,380,494,426,270,268,134,16,210,551,92,262,402,806,764,0.9168657429526995,0.06712852365026278,0.09603440038222646,0.10474205315268369,0.7052631578947368,0.3145539906103286,0.5261780104712042,0.5425101214574899,0.4962962962962963,0.5619047619047619,0.5245009074410163
2018,Madison Radicals,419,399,4682,236,304,4385,4385,419,61,238,7,0,0,331,412,447,314,256,163,17,140,590,58,245,419,778,726,0.9365655702691158,0.05040580948312687,0.08949167022639898,0.09555302166476624,0.7734138972809668,0.36465324384787473,0.5771349862258953,0.6213592233009708,0.5191082802547771,0.5857142857142856,0.5847457627118644
2018,Minnesota Wind Chill,382,355,4936,290,347,4593,4593,383,53,191,4,1,0,371,475,411,266,262,120,15,185,546,77,266,382,782,741,0.9305105348460292,0.058752025931928686,0.0773905996758509,0.08338776398867842,0.706199460916442,0.291970802919708,0.5155195681511471,0.5515789473684211,0.45112781954887216,0.5837837837837838,0.5128205128205128
2018,Montreal Royal,315,285,3657,309,374,3288,3288,315,60,174,5,0,0,367,502,336,199,232,83,14,258,447,114,231,315,703,701,0.8990976210008204,0.0844954881050041,0.08613617719442165,0.09580291970802919,0.6321525885558583,0.24702380952380953,0.44935805991440797,0.46215139442231074,0.41708542713567837,0.5581395348837209,0.4832214765100671
2018,Nashville NightWatch,296,267,3795,297,358,3442,3442,297,56,157,5,1,2,379,499,317,175,236,60,14,241,425,116,243,296,696,674,0.9069828722002635,0.0782608695652174,0.07799736495388669,0.0862870424171993,0.6226912928759895,0.1892744479495268,0.4391691394658754,0.4729458917835671,0.34285714285714286,0.5186721991701244,0.42823529411764705
2018,New York Empire,388,367,4662,300,354,4316,4316,389,46,211,8,1,1,396,512,414,238,267,121,17,223,520,101,268,388,810,750,0.9257829257829258,0.06435006435006435,0.08322608322608323,0.09012974976830398,0.6742424242424242,0.2922705314009662,0.5173333333333333,0.521484375,0.5084033613445378,0.547085201793722,0.48461538461538467
2018,Ottawa Outlaws,321,291,3441,303,386,3064,3064,321,74,163,9,0,0,376,489,345,226,231,90,14,242,475,121,235,321,721,715,0.8904388259226969,0.08805579773321709,0.09328683522231909,0.10476501305483028,0.6143617021276596,0.2608695652173913,0.4489510489510489,0.4723926380368098,0.39823008849557523,0.5,0.5052631578947369
2018,Philadelphia Phoenix,293,274,4144,306,380,3764,3764,293,74,170,0,0,0,339,445,315,235,219,74,14,210,470,98,220,293,654,680,0.9083011583011583,0.07384169884169885,0.0707046332046332,0.07784272051009564,0.6460176991150443,0.23492063492063492,0.4308823529411765,0.49213483146067416,0.3148936170212766,0.5333333333333333,0.5319148936170213
2018,Pittsburgh Thunderbirds,275,253,3621,335,404,3223,3223,276,63,155,6,1,0,358,504,292,176,212,63,14,272,402,122,210,275,650,680,0.8900856117094725,0.09251587959127312,0.07594587130626898,0.08563450201675457,0.5921787709497207,0.21575342465753425,0.40441176470588236,0.42063492063492064,0.35795454545454547,0.5514705882352942,0.4776119402985075
2018,Raleigh Flyers,393,373,4850,249,287,4566,4566,395,35,198,3,2,2,359,450,416,248,255,138,16,178,519,84,249,393,775,698,0.9414432989690722,0.05134020618556701,0.08103092783505154,0.086508979413053,0.7103064066852368,0.3317307692307692,0.5630372492836676,0.5666666666666667,0.5564516129032258,0.5280898876404494,0.5202312138728324
2018,San Diego Growlers,355,345,4791,274,338,4460,4460,356,57,183,7,1,2,377,487,383,212,247,108,15,221,480,103,247,355,760,699,0.9309121269046128,0.057190565643915676,0.07409726570653308,0.07982062780269059,0.6551724137931034,0.2819843342036554,0.5078683834048641,0.5071868583162218,0.5094339622641509,0.5339366515837104,0.4854166666666667
2018,San Francisco FlameThrowers,322,300,4071,305,375,3700,3700,322,66,163,4,0,0,375,508,345,204,258,64,14,230,477,94,261,322,720,712,0.908867600098256,0.07492016703512651,0.07909604519774012,0.08702702702702703,0.688,0.1855072463768116,0.45224719101123595,0.5078740157480315,0.3137254901960784,0.5913043478260869,0.4528301886792453
2018,San Jose Spiders,322,300,4307,306,366,3944,3944,323,57,168,3,1,0,355,476,348,228,239,83,14,221,484,96,240,322,703,704,0.9157185976317622,0.0710471325748781,0.07476201532389135,0.08189655172413793,0.6732394366197183,0.23850574712643677,0.45738636363636365,0.5021008403361344,0.36403508771929827,0.5656108597285068,0.5041322314049587
2018,Seattle Cascades,336,307,3964,313,372,3595,3595,337,56,179,3,1,0,382,516,358,198,259,77,14,237,475,94,267,336,740,714,0.906912209889001,0.0789606458123108,0.08476286579212916,0.0937413073713491,0.6780104712041884,0.21508379888268156,0.47058823529411764,0.501937984496124,0.3888888888888889,0.6033755274261603,0.4378947368421052
2018,Tampa Bay Cannons,286,274,4577,209,245,4337,4337,288,31,145,5,2,0,313,394,310,161,206,80,14,174,381,92,203,286,623,555,0.9475639064889666,0.04566309809919161,0.062486344767314836,0.06640534931980632,0.65814696485623,0.25806451612903225,0.5153153153153153,0.5228426395939086,0.4968944099378882,0.47126436781609193,0.4671916010498688
2018,Toronto Rush,365,327,3797,288,352,3452,3452,367,57,237,7,2,0,311,446,393,292,219,146,15,209,528,70,216,365,704,738,0.9091387937845667,0.07584935475375296,0.09612852251777719,0.10631517960602549,0.7041800643086816,0.37150127226463103,0.494579945799458,0.4910313901345291,0.5,0.6650717703349283,0.5909090909090908
