year,team,Assists,Hockey Assists,Throws,Throwaways,Turnovers,Completions,Catches,Goals,Drops,Blocks,Stalls,Callahans,Callahans Thrown,O Points Played,O Possessions Played,D Points Played,D Possessions Played,Holds,Breaks,Games Played,Opponent Possessions Played (O-Line),Opponent Possessions Played (D-Line),O Points Lost,D Points Lost,Points Won,Points Played,Possessions Played,Completion Rate,Throwaway Rate,Assist Rate,Goal Rate,Hold Rate,Break Rate,Scoring Efficiency,O-line Scoring Efficiency,D-line Scoring Efficiency,O-line Takeaway Efficiency,D-line Takeaway Efficiency
2015,Chicago Wildfire,282,252,4165,272,338,3827,3827,282,66,180,0,0,0,250,361,303,264,164,118,13,180,441,66,166,282,553,625,0.9188475390156062,0.0653061224489796,0.06770708283313326,0.07368696106610922,0.656,0.38943894389438943,0.4512,0.45429362880886426,0.44696969696969696,0.6333333333333333,0.6235827664399093
2015,Cincinnati Revolution,256,231,4439,374,455,3991,3991,256,74,162,7,0,1,393,556,280,168,208,48,14,324,397,157,215,256,673,724,0.8990763685514755,0.08425321018247353,0.05767064654201397,0.06414432473064395,0.5292620865139949,0.17142857142857143,0.35359116022099446,0.37410071942446044,0.2857142857142857,0.5154320987654322,0.4584382871536524
2015,DC Breeze,302,256,3560,301,373,3198,3198,302,61,180,11,0,0,334,471,323,220,198,104,14,260,432,117,198,302,657,691,0.898314606741573,0.0845505617977528,0.0848314606741573,0.09443402126328955,0.592814371257485,0.3219814241486068,0.4370477568740955,0.42038216560509556,0.4727272727272727,0.55,0.5416666666666667
2015,Detroit Mechanix,234,204,4261,419,501,3760,3760,234,82,135,0,0,0,464,618,260,130,201,33,14,390,353,232,212,234,724,748,0.8824219666744896,0.09833372447782211,0.054916686223891106,0.06223404255319149,0.4331896551724138,0.12692307692307692,0.31283422459893045,0.32524271844660196,0.25384615384615383,0.40512820512820513,0.3994334277620396
2015,Indianapolis AlleyCats,340,310,4108,276,328,3784,3784,340,48,179,4,0,0,327,427,362,248,224,116,14,194,488,90,216,340,689,675,0.9211295034079844,0.06718597857838364,0.0827653359298929,0.08985200845665962,0.6850152905198776,0.32044198895027626,0.5037037037037037,0.5245901639344263,0.46774193548387094,0.5360824742268041,0.5573770491803278
2015,Jacksonville Cannons,367,328,4032,292,348,3684,3684,368,56,160,0,1,0,362,477,394,248,247,120,15,209,519,84,255,367,756,725,0.9136904761904762,0.07242063492063493,0.09102182539682539,0.0998914223669924,0.6823204419889503,0.30456852791878175,0.5062068965517241,0.5178197064989518,0.4838709677419355,0.5980861244019139,0.5086705202312138
2015,Los Angeles Aviators,290,269,4056,308,350,3707,3707,290,41,148,1,0,0,339,452,316,194,202,88,14,228,415,113,205,290,655,646,0.9139546351084813,0.07593688362919132,0.07149901380670612,0.07823037496628,0.5958702064896755,0.27848101265822783,0.44891640866873067,0.4469026548672566,0.4536082474226804,0.5043859649122807,0.5060240963855422
2015,Madison Radicals,426,390,4460,259,351,4119,4119,426,82,270,10,0,0,322,447,455,344,242,184,17,192,609,62,232,426,777,791,0.923542600896861,0.058071748878923767,0.09551569506726458,0.10342316096139839,0.7515527950310559,0.4043956043956044,0.538558786346397,0.5413870246085011,0.5348837209302325,0.6770833333333333,0.6190476190476191
2015,Minnesota Wind Chill,290,256,4169,330,427,3747,3747,292,92,266,5,2,1,323,484,316,254,176,114,14,292,448,124,178,290,639,738,0.8987766850563684,0.079155672823219,0.06956104581434397,0.07792900987456632,0.544891640866873,0.36075949367088606,0.39295392953929537,0.36363636363636365,0.44881889763779526,0.5753424657534247,0.6026785714285714
2015,Montreal Royal,336,238,3282,349,427,2856,2856,338,77,226,1,2,0,363,501,362,264,221,115,15,266,498,120,221,336,725,765,0.870201096892139,0.10633759902498477,0.10237659963436929,0.11834733893557423,0.6088154269972452,0.31767955801104975,0.4392156862745098,0.4411177644710579,0.4356060606060606,0.5488721804511278,0.5562248995983936
