,Year,Matchup Link,Date Location,Home Team,Away Team,Home Team Score,Away Team Score,Date,Time,City,Week,UniversalGameID
962,2018,/league/game/2018-06-17-SEA-SD,"Sun, 6/17 1:00 PM PDT San Diego",San Diego Growlers,Seattle Cascades,25,27,2018-06-17,1:00 PM PDT,San Diego,12,962
963,2018,/league/game/2018-06-17-NY-TOR,"Sun, 6/17 1:00 PM EDT Toronto",Toronto Rush,New York Empire,25,18,2018-06-17,1:00 PM EDT,Toronto,12,963
964,2018,/league/game/2018-06-17-DET-CHI,"Sun, 6/17 1:00 PM CDT Chicago",Chicago Wildfire,Detroit Mechanix,34,12,2018-06-17,1:00 PM CDT,Chicago,12,964
965,2018,/league/game/2018-06-17-MAD-IND,"Sun, 6/17 5:00 PM EDT Indianapolis",Indianapolis AlleyCats,Madison Radicals,21,20,2018-06-17,5:00 PM EDT,Indianapolis,12,965
966,2018,/league/game/2018-06-23-SD-SEA,"Sat, 6/23 7:00 PM PDT Seattle",Seattle Cascades,San Diego Growlers,22,23,2018-06-23,7:00 PM PDT,Seattle,13,971
967,2018,/league/game/2018-06-23-LA-SJ,"Sat, 6/23 7:00 PM PDT San Jose",San Jose Spiders,Los Angeles Aviators,18,27,2018-06-23,7:00 PM PDT,San Jose,13,972
968,2018,/league/game/2018-06-23-DET-IND,"Sat, 6/23 7:00 PM EDT Indianapolis",Indianapolis AlleyCats,Detroit Mechanix,40,20,2018-06-23,7:00 PM EDT,Indianapolis,13,973
969,2018,/league/game/2018-06-23-MTL-NY,"Sat, 6/23 7:00 PM EDT New York",New York Empire,Montreal Royal,22,23,2018-06-23,7:00 PM EDT,New York,13,970
970,2018,/league/game/2018-06-23-DC-TOR,"Sat, 6/23 6:30 PM EDT Toronto",Toronto Rush,DC Breeze,28,21,2018-06-23,6:30 PM EDT,Toronto,13,968
971,2018,/league/game/2018-06-23-RAL-ATL,"Sat, 6/23 6:30 PM EDT Atlanta",Atlanta Hustle,Raleigh Flyers,30,20,2018-06-23,6:30 PM EDT,Atlanta,13,967
972,2018,/league/game/2018-06-23-PIT-MIN,"Sat, 6/23 6:00 PM CDT Minnesota",Minnesota Wind Chill,Pittsburgh Thunderbirds,28,29,2018-06-23,6:00 PM CDT,Minnesota,13,966
973,2018,/league/game/2018-06-23-NSH-AUS,"Sat, 6/23 7:00 PM CDT Austin",Austin Sol,Nashville Nightwatch,24,23,2018-06-23,7:00 PM CDT,Austin,13,969
974,2018,/league/game/2018-06-24-CHI-DET,"Sun, 6/24 TBD Detroit",Detroit Mechanix,Chicago Wildfire,27,31,2018-06-24,TBD Detroit,,13,974
975,2018,/league/game/2018-06-24-LA-SF,"Sun, 6/24 1:00 PM PDT San Francisco",San Francisco FlameThrowers,Los Angeles Aviators,24,25,2018-06-24,1:00 PM PDT,San Francisco,13,975
976,2018,/league/game/2018-06-24-NSH-DAL,"Sun, 6/24 1:00 PM CDT Dallas",Dallas Roughnecks,Nashville Nightwatch,28,16,2018-06-24,1:00 PM CDT,Dallas,13,976
977,2018,/league/game/2018-06-24-MTL-PHI,"Sun, 6/24 1:00 PM EDT Philadelphia",Philadelphia Phoenix,Montreal Royal,27,19,2018-06-24,1:00 PM EDT,Philadelphia,13,977
978,2018,/league/game/2018-06-24-DC-OTT,"Sun, 6/24 2:00 PM EDT Ottawa",Ottawa Outlaws,DC Breeze,29,30,2018-06-24,2:00 PM EDT,Ottawa,13,978
979,2018,/league/game/2018-06-30-AUS-DAL,"Sat, 6/30 7:00 PM CDT Dallas",Dallas Roughnecks,Austin Sol,29,25,2018-06-30,7:00 PM CDT,Dallas,14,987
980,2018,/league/game/2018-06-30-ATL-TB,"Sat, 6/30 7:00 PM EDT Tampa Bay",Tampa Bay Cannons,Atlanta Hustle,19,16,2018-06-30,7:00 PM EDT,Tampa Bay,14,985
981,2018,/league/game/2018-06-30-PHI-DC,"Sat, 6/30 6:30 PM EDT DC",DC Breeze,Philadelphia Phoenix,25,15,2018-06-30,6:30 PM EDT,DC,14,984
982,2018,/league/game/2018-06-30-SF-SD,"Sat, 6/30 6:30 PM PDT San Diego",San Diego Growlers,San Francisco FlameThrowers,27,22,2018-06-30,6:30 PM PDT,San Diego,14,983
983,2018,/league/game/2018-06-30-NSH-RAL,"Sat, 6/30 7:00 PM EDT Raleigh",Raleigh Flyers,Nashville Nightwatch,33,20,2018-06-30,7:00 PM EDT,Raleigh,14,986
984,2018,/league/game/2018-06-30-IND-MAD,"Sat, 6/30 6:00 PM CDT Madison",Madison Radicals,Indianapolis AlleyCats,26,17,2018-06-30,6:00 PM CDT,Madison,14,981
985,2018,/league/game/2018-06-30-CHI-MIN,"Sat, 6/30 6:00 PM CDT Minnesota",Minnesota Wind Chill,Chicago Wildfire,25,23,2018-06-30,6:00 PM CDT,Minnesota,14,980
986,2018,/league/game/2018-06-30-PIT-DET,"Sat, 6/30 TBD Detroit",Detroit Mechanix,Pittsburgh Thunderbirds,19,20,2018-06-30,TBD Detroit,,14,979
987,2018,/league/game/2018-06-30-NY-OTT,"Sat, 6/30 6:00 PM EDT Ottawa",Ottawa Outlaws,New York Empire,23,29,2018-06-30,6:00 PM EDT,Ottawa,14,982
988,2018,/league/game/2018-07-01-NY-MTL,"Sun, 7/1 1:00 PM EDT Montreal",Montreal Royal,New York Empire,18,26,2018-07-01,1:00 PM EDT,Montreal,14,988
989,2018,/league/game/2018-07-01-SF-LA,"Sun, 7/1 1:30 PM PDT LA",Los Angeles Aviators,San Francisco FlameThrowers,28,21,2018-07-01,1:30 PM PDT,LA,14,989
990,2018,/league/game/2018-07-01-SJ-SEA,"Sun, 7/1 1:30 PM PDT Seattle",Seattle Cascades,San Jose Spiders,25,24,2018-07-01,1:30 PM PDT,Seattle,14,990
991,2018,/league/game/2018-07-03-MIN-MAD,"Tue, 7/3 7:00 PM CDT Madison",Madison Radicals,Minnesota Wind Chill,35,24,2018-07-03,7:00 PM CDT,Madison,15,991
992,2018,/league/game/2018-07-07-TB-DAL,"Sat, 7/7 7:00 PM CDT Dallas",Dallas Roughnecks,Tampa Bay Cannons,21,16,2018-07-07,7:00 PM CDT,Dallas,15,996
993,2018,/league/game/2018-07-07-PHI-NY,"Sat, 7/7 7:00 PM EDT New York",New York Empire,Philadelphia Phoenix,27,23,2018-07-07,7:00 PM EDT,New York,15,995
994,2018,/league/game/2018-07-07-MTL-TOR,"Sat, 7/7 6:30 PM EDT Toronto",Toronto Rush,Montreal Royal,28,24,2018-07-07,6:30 PM EDT,Toronto,15,993
995,2018,/league/game/2018-07-07-IND-CHI,"Sat, 7/7 6:00 PM CDT Chicago",Chicago Wildfire,Indianapolis AlleyCats,18,25,2018-07-07,6:00 PM CDT,Chicago,15,992
