,Away Team,Away Team Score,Date Location,Home Team,Home Team Score,Matchup Link,Week,Year
0,Raleigh Flyers,17,"Fri, 4/5 7:30 PM CDT Dallas",Dallas Roughnecks,19,/league/game/2019-04-05-RAL-DAL,1,2019
1,Raleigh Flyers,22,"Sat, 4/6 6:00 PM CDT Austin",Austin Sol,18,/league/game/2019-04-06-RAL-AUS,1,2019
2,San Jose Spiders,28,"Sat, 4/6 6:30 PM PDT Seattle",Seattle Cascades,27,/league/game/2019-04-06-SJ-SEA,1,2019
3,Los Angeles Aviators,18,"Sat, 4/6 6:45 PM PDT San Diego",San Diego Growlers,20,/league/game/2019-04-06-LA-SD,1,2019
4,Atlanta Hustle,17,"Sat, 4/6 7:05 PM EDT Tampa Bay",Tampa Bay Cannons,18,/league/game/2019-04-06-ATL-TB,1,2019
5,San Jose Spiders,18,"Fri, 4/12 7:30 PM PDT LA",Los Angeles Aviators,22,/league/game/2019-04-12-SJ-LA,2,2019
6,Dallas Roughnecks,0,"Sat, 4/13 6:00 PM CDT Austin",Austin Sol,0,/league/game/2019-04-13-DAL-AUS,2,2019
7,DC Breeze,0,"Sat, 4/13 6:00 PM EDT New York",New York Empire,0,/league/game/2019-04-13-DC-NY,2,2019
8,San Jose Spiders,0,"Sat, 4/13 6:45 PM PDT San Diego",San Diego Growlers,0,/league/game/2019-04-13-SJ-SD,2,2019
9,Raleigh Flyers,0,"Sat, 4/13 7:00 PM EDT Atlanta",Atlanta Hustle,0,/league/game/2019-04-13-RAL-ATL,2,2019
10,Madison Radicals,0,"Sun, 4/14 6:00 PM EDT Indianapolis",Indianapolis AlleyCats,0,/league/game/2019-04-14-MAD-IND,2,2019
11,Philadelphia Phoenix,0,"Sat, 4/20 4:00 PM EDT DC",DC Breeze,0,/league/game/2019-04-20-PHI-DC,3,2019
12,Los Angeles Aviators,0,"Sat, 4/20 6:00 PM PDT Seattle",Seattle Cascades,0,/league/game/2019-04-20-LA-SEA,3,2019
13,Chicago Wildfire,0,"Sat, 4/20 6:00 PM CDT Minnesota",Minnesota Wind Chill,0,/league/game/2019-04-20-CHI-MIN,3,2019
14,Pittsburgh Thunderbirds,0,"Sat, 4/20 6:00 PM CDT Madison",Madison Radicals,0,/league/game/2019-04-20-PIT-MAD,3,2019
15,Detroit Mechanix,0,"Sat, 4/20 7:00 PM EDT Indianapolis",Indianapolis AlleyCats,0,/league/game/2019-04-20-DET-IND,3,2019
16,Austin Sol,0,"Sat, 4/20 7:00 PM CDT Dallas",Dallas Roughnecks,0,/league/game/2019-04-20-AUS-DAL,3,2019
17,San Diego Growlers,0,"Sat, 4/20 7:00 PM PDT San Jose",San Jose Spiders,0,/league/game/2019-04-20-SD-SJ,3,2019
18,Atlanta Hustle,0,"Sat, 4/20 7:05 PM EDT Tampa Bay",Tampa Bay Cannons,0,/league/game/2019-04-20-ATL-TB,3,2019
19,Seattle Cascades,0,"Fri, 4/26 7:00 PM PDT San Diego",San Diego Growlers,0,/league/game/2019-04-26-SEA-SD,4,2019
20,Toronto Rush,0,"Sat, 4/27 2:00 PM EDT Ottawa",Ottawa Outlaws,0,/league/game/2019-04-27-TOR-OTT,4,2019
21,Indianapolis AlleyCats,0,"Sat, 4/27 4:00 PM EDT Detroit",Detroit Mechanix,0,/league/game/2019-04-27-IND-DET,4,2019
22,Seattle Cascades,0,"Sat, 4/27 5:30 PM PDT LA",Los Angeles Aviators,0,/league/game/2019-04-27-SEA-LA,4,2019
23,Pittsburgh Thunderbirds,0,"Sat, 4/27 6:00 PM CDT Minnesota",Minnesota Wind Chill,0,/league/game/2019-04-27-PIT-MIN,4,2019
24,New York Empire,0,"Sat, 4/27 6:00 PM EDT Philadelphia",Philadelphia Phoenix,0,/league/game/2019-04-27-NY-PHI,4,2019
25,Raleigh Flyers,0,"Sat, 4/27 7:00 PM EDT Atlanta",Atlanta Hustle,0,/league/game/2019-04-27-RAL-ATL,4,2019
26,Montreal Royal,0,"Sun, 4/28 2:00 PM EDT New York",New York Empire,0,/league/game/2019-04-28-MTL-NY,4,2019
27,Montreal Royal,0,"Sat, 5/4 4:00 PM EDT Toronto",Toronto Rush,0,/league/game/2019-05-04-MTL-TOR,5,2019
28,Austin Sol,0,"Sat, 5/4 5:00 PM EDT Atlanta",Atlanta Hustle,0,/league/game/2019-05-04-AUS-ATL,5,2019
29,Indianapolis AlleyCats,0,"Sat, 5/4 6:00 PM EDT Pittsburgh",Pittsburgh Thunderbirds,0,/league/game/2019-05-04-IND-PIT,5,2019
30,Minnesota Wind Chill,0,"Sat, 5/4 6:00 PM CDT Chicago",Chicago Wildfire,0,/league/game/2019-05-04-MIN-CHI,5,2019
31,Ottawa Outlaws,0,"Sat, 5/4 6:00 PM EDT DC",DC Breeze,0,/league/game/2019-05-04-OTT-DC,5,2019
32,San Diego Growlers,0,"Sat, 5/4 6:30 PM PDT Seattle",Seattle Cascades,0,/league/game/2019-05-04-SD-SEA,5,2019
33,Los Angeles Aviators,0,"Sat, 5/4 7:00 PM PDT San Jose",San Jose Spiders,0,/league/game/2019-05-04-LA-SJ,5,2019
34,Minnesota Wind Chill,0,"Sun, 5/5 1:00 PM EDT Detroit",Detroit Mechanix,0,/league/game/2019-05-05-MIN-DET,5,2019
35,Austin Sol,0,"Sun, 5/5 1:00 PM EDT Raleigh",Raleigh Flyers,0,/league/game/2019-05-05-AUS-RAL,5,2019
36,Ottawa Outlaws,0,"Sun, 5/5 2:00 PM EDT Philadelphia",Philadelphia Phoenix,0,/league/game/2019-05-05-OTT-PHI,5,2019
37,Ottawa Outlaws,0,"Sat, 5/11 4:00 PM EDT Toronto",Toronto Rush,0,/league/game/2019-05-11-OTT-TOR,6,2019
38,San Diego Growlers,0,"Sat, 5/11 5:30 PM PDT LA",Los Angeles Aviators,0,/league/game/2019-05-11-SD-LA,6,2019
39,Minnesota Wind Chill,0,"Sat, 5/11 6:00 PM CDT Madison",Madison Radicals,0,/league/game/2019-05-11-MIN-MAD,6,2019
40,DC Breeze,0,"Sat, 5/11 6:00 PM EDT New York",New York Empire,0,/league/game/2019-05-11-DC-NY,6,2019
41,Chicago Wildfire,0,"Sat, 5/11 6:00 PM EDT Pittsburgh",Pittsburgh Thunderbirds,0,/league/game/2019-05-11-CHI-PIT,6,2019
42,Seattle Cascades,0,"Sat, 5/11 7:00 PM PDT San Jose",San Jose Spiders,0,/league/game/2019-05-11-SEA-SJ,6,2019
43,Dallas Roughnecks,0,"Sat, 5/11 7:00 PM CDT Austin",Austin Sol,0,/league/game/2019-05-11-DAL-AUS,6,2019
44,Atlanta Hustle,0,"Sat, 5/11 7:00 PM EDT Indianapolis",Indianapolis AlleyCats,0,/league/game/2019-05-11-ATL-IND,6,2019
45,Raleigh Flyers,0,"Sat, 5/11 7:05 PM EDT Tampa Bay",Tampa Bay Cannons,0,/league/game/2019-05-11-RAL-TB,6,2019
46,San Jose Spiders,0,"Fri, 5/17 6:45 PM PDT San Diego",San Diego Growlers,0,/league/game/2019-05-17-SJ-SD,7,2019
47,San Jose Spiders,0,"Sat, 5/18 5:30 PM PDT LA",Los Angeles Aviators,0,/league/game/2019-05-18-SJ-LA,7,2019
48,Detroit Mechanix,0,"Sat, 5/18 6:00 PM EDT Pittsburgh",Pittsburgh Thunderbirds,0,/league/game/2019-05-18-DET-PIT,7,2019
49,Indianapolis AlleyCats,0,"Sat, 5/18 6:00 PM CDT Minnesota",Minnesota Wind Chill,0,/league/game/2019-05-18-IND-MIN,7,2019
50,Madison Radicals,0,"Sat, 5/18 6:00 PM CDT Chicago",Chicago Wildfire,0,/league/game/2019-05-18-MAD-CHI,7,2019
51,DC Breeze,0,"Sat, 5/18 7:00 PM EDT Ottawa",Ottawa Outlaws,0,/league/game/2019-05-18-DC-OTT,7,2019
52,Tampa Bay Cannons,0,"Sat, 5/18 7:00 PM CDT Austin",Austin Sol,0,/league/game/2019-05-18-TB-AUS,7,2019
53,Toronto Rush,0,"Sat, 5/18 7:00 PM EDT New York",New York Empire,0,/league/game/2019-05-18-TOR-NY,7,2019
54,Atlanta Hustle,0,"Sat, 5/18 7:00 PM EDT Raleigh",Raleigh Flyers,0,/league/game/2019-05-18-ATL-RAL,7,2019
55,Tampa Bay Cannons,0,"Sun, 5/19 1:00 PM CDT Dallas",Dallas Roughnecks,0,/league/game/2019-05-19-TB-DAL,7,2019
56,DC Breeze,0,"Sun, 5/19 1:00 PM EDT Montreal",Montreal Royal,0,/league/game/2019-05-19-DC-MTL,7,2019
57,Toronto Rush,0,"Sun, 5/19 2:00 PM EDT Philadelphia",Philadelphia Phoenix,0,/league/game/2019-05-19-TOR-PHI,7,2019
58,Ottawa Outlaws,0,"Sat, 5/25 4:00 PM EDT New York",New York Empire,0,/league/game/2019-05-25-OTT-NY,8,2019
59,Indianapolis AlleyCats,0,"Sat, 5/25 6:00 PM CDT Chicago",Chicago Wildfire,0,/league/game/2019-05-25-IND-CHI,8,2019
60,Minnesota Wind Chill,0,"Sat, 5/25 6:00 PM EDT Pittsburgh",Pittsburgh Thunderbirds,0,/league/game/2019-05-25-MIN-PIT,8,2019
61,Montreal Royal,0,"Sat, 5/25 6:00 PM EDT Philadelphia",Philadelphia Phoenix,0,/league/game/2019-05-25-MTL-PHI,8,2019
62,Madison Radicals,0,"Sat, 5/25 6:00 PM EDT Toronto",Toronto Rush,0,/league/game/2019-05-25-MAD-TOR,8,2019
63,Austin Sol,0,"Sat, 5/25 7:00 PM CDT Dallas",Dallas Roughnecks,0,/league/game/2019-05-25-AUS-DAL,8,2019
64,Tampa Bay Cannons,0,"Sat, 5/25 7:00 PM EDT Atlanta",Atlanta Hustle,0,/league/game/2019-05-25-TB-ATL,8,2019
65,Montreal Royal,0,"Sun, 5/26 1:00 PM EDT DC",DC Breeze,0,/league/game/2019-05-26-MTL-DC,8,2019
66,Madison Radicals,0,"Sun, 5/26 1:00 PM EDT Detroit",Detroit Mechanix,0,/league/game/2019-05-26-MAD-DET,8,2019
67,Indianapolis AlleyCats,0,"Sat, 6/1 2:00 PM CDT Madison",Madison Radicals,0,/league/game/2019-06-01-IND-MAD,9,2019
68,Pittsburgh Thunderbirds,0,"Sat, 6/1 4:00 PM EDT Detroit",Detroit Mechanix,0,/league/game/2019-06-01-PIT-DET,9,2019
69,New York Empire,0,"Sat, 6/1 6:00 PM EDT DC",DC Breeze,0,/league/game/2019-06-01-NY-DC,9,2019
70,Montreal Royal,0,"Sat, 6/1 6:00 PM EDT Ottawa",Ottawa Outlaws,0,/league/game/2019-06-01-MTL-OTT,9,2019
71,Chicago Wildfire,0,"Sat, 6/1 6:00 PM CDT Minnesota",Minnesota Wind Chill,0,/league/game/2019-06-01-CHI-MIN,9,2019
72,San Jose Spiders,0,"Sat, 6/1 6:30 PM PDT Seattle",Seattle Cascades,0,/league/game/2019-06-01-SJ-SEA,9,2019
